city,holc_id,name,holc_grade,area_terrain,area_favorable_influences,area_detrimental_influences,area_pct_improved,area_desirability_trend,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_predominating_pct,buildings_other1_pct,buildings_other2_pct,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_occupancy_pct,buildings_ownership_pct,buildings_constructed_past_yr,buildings_1929_price_range_pct,buildings_1936_price_range_pct,buildings_1938_price_range_pct,buildings_sales_demand,buildings_sales_activity,buildings_1929_rent_range_pct,buildings_1936_rent_range_pct,buildings_1938_rent_range_pct,buildings_rental_demand,buildings_rental_activity,mortgage_avial_home_purchase,mortgage_avial_home_building,clarifying_remarks,name_location_grade_number
Stockton,B8,"North Stockton, Westerly and Sperry",B,Level with no construction hazards.,"Schools, churches, transportation, recreational and trading centers conveniently available.",Improvements in some parts of area are slightly heterogeneous.,75,Up to static,Professional & business men skilled artisans & white collar workers.,1500-3000,Few None,None ,Remote,None known,Slowly  ,90,,,5-6  ,"Frame, brick, stucco  ",17  ,Fair to good  ,98  ,65  ,25  ,3250-4250  ,1936 2900-3800 90    ,1938 2900-3800 90    ,3000- good  ,Fair to good  ,25-35  ,1936 25-35 100    ,1938 27.50-35 105    ,30- good  ,Good  ,Ample,Ample,"This area is largely zones to permit 2-family dwellings, but the part west of El Dorado St. north of Castle St. and the blocks facing Hunter and San Joaquin Sts. south of Wyandotte St. are zoned 1-family residential and those portions are of better grade than balance of area. This is particularly true of the latter named portions located in southeast part of area which is known as ""Bours Park"". This small section was marketed some 20 yrs. ago as a seperate sub-division and if it were not for the age of improvements and subversive surroundings would be entitled to a 1st grade classification. The area as a whole is spotted, ranging from ""low blue"" to ""high blue"" in different parts. Taken as as whole area is accorded a ""medial blue"" grade.","North Stockton, Westerly, & Sperry B 8"
Stockton,B9,North Oaks and College Park,B,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and transportation. Proximity to industrial employment and low taxes.",Proximity to industry and main line railroads. Outside city limits and therefore lacks sewers. Some streets are not fully improved.,85,Up to static.,"Small business men, artisans, white collar workers.",1500-2500,Few None,None ,Remote,None known,Slowly  ,90,,,"4-5 rooms, mostly 5 rooms  ",Frame & stucco  ,10  ,Good  ,98  ,75  ,12  ,2500-3500  ,1936 2500-3500 100    ,1938 2500-3500 100    ,3000- good  ,Good  ,25-35  ,1936 25-35 100    ,1938 25-35 100    ,30- good  ,Fair  ,Ample,Ample,"This area lies outside city limits, and has no zoning but is moderately deed restricted. That this is a very popular district is indicated by its high percent of home ownership, occupancy and the amount of recent new construction. This is a middle class area with a homoeneous population and type of improvements. The quality of construction and maintenance are of a good character. The area's proximity to both the Western Pacific and Southern Railroads and the prospect that adjacent districts may develop into highly industrialized sections preclude the assignment of higher than a ""low blue"" grade. ",North Oaks & College Park B 9
Stockton,B10,Stockton Acres,B,"Level with no construction hazards. Low elevation indicates threat of flooded basements at times of high tides, because of hydrostatic pressure. This is ameliorated however, by a city pumping plant which is operated to overcome this hazard.","Convenience to schools, churches, trading centers and recreational areas. Low taxs (outside city limits).",Distance from transportation and city center. Lack of fully improved streets and sewers. Also see 1a above.,35,Upward,"Small business men, salesmen, white collar worksrs & skilled artisans",1500-3000,Few None,None ,Rapidly,None known,Rapidly  ,95,,,"4, 5 and 6  ","Frame, brick & stucco  ",4  ,Good  ,98  ,85  ,50  ,Not developed  ,1936 2750-4750 95    ,1937 3000-5000 100    ,3500- good  ,Good  ,Not developed  ,1936 30-45 90    ,1938 35-50 100    ,40- good  ,Poor  ,Ample,Ample,"This area is outside the city limits and therefore lacks zoning but is said to be either wholly or partially protected by deed restrictions. This has been one of the ""hot spots"" of the community for the past several years and the influence of the 1st grade area to the east is very evident. Victory and Louis Parks also add to the attractiveness of the district. The large amount of new construction, while in the medium price range, is of good quality and dwellings are well maintained. The pattern of the area is distinctly of a first grade character, however, the lack of fully improved streets and sewers coupled with poor transportation facilities and distance from city center, precludes assigning more than a provisional ""high blue"" grade.",Stockton Acres B 10
Stockton,B11,Yosemite Terrace,B,"Level with no construction hazards. Low elevation indicates threat of flooded basements at times of high tides, because of hydrostatic pressure. This is ameliorated however, by a city pumping plant which is operated to overcome this hazard.","Schools, churches, trading centers, recreational areas and transportation conveniently available. Proximity to higher grade areas to west and north.","Slight danger that district to the south bordering Stockton Channel may develop into heavy industrial center for which it is zoned and which permits ""any use."" This would unfavorably effect the southern portion of area. Also see 1a above.",90,Up to tatic,"Professional & business men, higher salaried white collar workers, skilled artisans, etc.",1800-3000 up,Few None,None ,Remote,None,Slowly  ,80,10,,5-6  ,"Frame, brick, stucco  ",18  ,Good  ,98  ,70  ,8  ,4000-6500  ,1936 3250-5000 80    ,1938 3500-6000 90    ,4000- good  ,Good  ,40-50  ,1936 35-45 90    ,1938 40-50 100    ,40- good  ,Good  ,Ample,Ample,"Deed restrictions in area have expired. 12 blocks in the west are zoned single family and balance of area 2 family residential with the exception of a small section along Yosemite St. which is zoned for a community business center. Regardless of zoning this area is one of substantial, well maintaned single family homes which grades from ""low blue"" in the east to ""high blue"" in the western and nothern part. Were it not for the age of the improvements a number of the block bordering A-3 would have been included in that area. Taking it as a whole the area is definitely a strong ""medial blue"" grade.",Yosemite Terrace B 11
Stockton,B12,The Oaks,B,Level with no construction hazards.,"Convenience to schools, churches, trading center, recreational areas, transportation and city center. Homogeneous improvements and inhabitants. Presence of large numbers of large old oak trees adds charm to location.","Proximity to railroads, industry and business. Lack of opportunity for expansion.",85,Up to static,"Small business men, white collar workers, R. R. employees, and artisans",1800-2500,Few None,None ,Possible but believed remote,None known,Slowly  ,90,,,5-6 rooms  ,"Frame, brick, and stucco  ",22  ,Fair to good  ,98  ,70  ,5  ,2750-4500  ,1936 2500-4000 90    ,1938 2750-4500 100    ,3500-good  ,Good  ,30-45  ,1936 27.50-40 90    ,1938 30-45 100    ,35- good  ,Good  ,Ample,Ample,"While not deed restricted this area is zoned single family residential and pattern of district is well established. This is an area of medium priced homes of good construction and mainteneance whose popularity is indicated by the high percent of home ownership and occupancy. It derives its name from the large number of wide spreading oak trees mentioned above, which adds greatly to its attractiveness. Owing to its convenience to the railway terminal it is particularly popular with constructors, engineers and other better paid railway workers. While a shade better than B-9 to the north both, in type of improvements and income level, its age and location precludes better than ""low blue"" grade.",The Oaks B 12
Stockton,B13,Souther part of El Recordo Terrace,B,Level with no construction hazards.,"Schools, churches, trading centers and transportation, at present only moderately convenient. Many large oak trees add to attractiveness, Low taxes. Proximity to industrial employment.",Outside city limits and lacks fully improved streets and sewers.,2,,,, , ,,,  ,,,,  ,  ,  ,  ,  ,  ,  ,  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,Ample/ apparently,Ample/ apparently,"This is a new subdivision which is being placed upon the market under good sponsorship. The only improvements consist of the 4 houses constructed during the past year. Being outside the city it is without zoning but as different plots are placed upon the market they are covered with ample deed restrictions. It is stated to be the policy of the subdividers to develop this area as a high grade working men's district. Owing it to the standing of the sponsors and the well conceived plans for the district it is accorded a provisional ""low blue"" grade.",Southern part of El Recordo Terrace B 13
Stockton,B14,City Park Terrace and West Stockton,B,"Level with no construction hazards. Low elevation indicates threat of flooded basements at times of high tides, because of hydrostatic pressure. This is ameliorated however, by a city pumping plant which is operated to overcome this hazard.","Convenience to schools, churches, trading center, and recreational areas. Transportation available in eastern portion. Adjacent to high grade areas to north.",Proximity to district bordering Stockton Channel which is zoned for heavy industry. Also see 1a above.,70,See remarks,"Business, professional men skilled mechanics and white collar workers",1800-3000,Few None,None ,A threat in South-eastern portion,None known,Slowly  ,90,,,5-6  ,"Frame, brick, and stucco  ",10  ,Good  ,98  ,70  ,3  ,3000-6000  ,1936 2500-5000 85    ,1938 2500-5000 85    ,3500-poor  ,Poor  ,30-45  ,1936 30-45 100    ,1938 35-50 113    ,40- good  ,Fair  ,Ample,Ample,"With the exception of parts of the northern section of this area, deed restrictions are believed to have expired. It is zoned single family north of but including both sides of Flora St. west of but including both sides of San Jose Ave. the balance of area is zoned 2-family residential. Northern part of area is of better grade than balance, owing to fact that 3 or 4 Japanese merchants are said to have acquired homes in the 3 southeastern blocks this section is bordering upon 3rd grade. Realtors state that while rental demand is good there is considerable sales resistance. However, construction and maintenance are of good quality and % of home ownership and occupancy is high. Future of area depends upon nature of developments which takes place in the wholly unimproved section to the south along the Stockton Channel Which is zones ""heavy industrial."" (See Area B-15.) While future of areas is clouded it is accorded a ""low blue"" grade.",The Oaks B 12
Stockton,B15,West Stockton,B,"Level with no construction hazards. Low elevation indicates threat of flooded basements at times of high tides, because of hydrostatic pressure. This is ameliorated however, by a city pumping plant which is operated to overcome this hazard.",Hatched area (see classifying remarks),See calrifying remarks. See 1a above.,0,Questionable,,, , ,,,  ,,,,  ,  ,  ,  ,  ,  ,  ,  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,,,"This area is wholly unimproved and has no deed protection. It is zoned 2-family residential. When placed upon the market it should develop into the same grade as B-14 which borders it on 3 sides, and is even more susceptible to the type of development which takes place in the unimproved section along ""Stockton Channel"" which is now zoned ""heavy industrial"" a classification permitting all uses. it is said that an effort will be made at an early date to have the present zoning changed, but it is thought there will probably be considerable opposition to this owing to the limited amount of land which borders upon the city's only deep water ship channel. The future of this area is highly problematic but based upon present conditions it is accorded a provisional ""low blue"" grade.",West Stockton B 15
Stockton,C1,North Stockton,C,Level with no construction hazards.,"Schools, churches, recreational areas and transportation conveniently available. Adjacent to Oak Park.","Distance from city center, and shopping centers. Lack of any plan of development, zoning or deed restrictions. Being outside city limits fire and police protection are lacking. No sewerage system or fully improved streets.",40,Upward,"Truck gardeners, farm laborers, and artisans.",1000-1500,15 Italian,None ,Not likely,Few,Slowly  ,80,15,,4-5 room 2 & 3 room ,"Frame ""shack"" ",20 20 ,Poor to fair Poor ,96  ,75  ,5  ,2500-3000  ,1936 2000-2400 80    ,1938 2250-2700 90    ,2500- fair  ,Fair  ,15-25  ,1936 12.50-20 80    ,1938 15-25 100    ,20- good  ,Fair  ,Limited,Limited,"There are no deed restricitons or zoning in this area. It is a laboring man's district and its population is inclined to be heterogeneous. Newer improvements indicate an upward tendency and imformed sources agree in the belief that adjacent higher grade areas will favorably infleunce future development. New cross town arterial on southern boundary will be construction factor. This area is somewhat of an anomaly. It is outside the city limits and evidently started as a sustenance homestead neighborhood. Present low quality of construction and evidence of lack of pride of occupancy does not warrant better than a ""low yellow"" grade.",Northern Stockton C 1
Stockton,C2,NA,C,Level with no construction hazards.,Deed restricted. Low taxes.,Adjacent to Southern Pacific Railway and main arterial highway and proximity to Western Pacific Railway. Lack of sewers (outside city limits).,5,?,,, , ,,,  ,,,,"4, 5 & 6 rooms  ",Frame  ,New  ,  ,  ,  ,10  ,  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,,,"This is a recent promotion of a speculative character and while considerable building has taken place and is under way, the pattern of the district is by no means assured. The location is a poor one and judging from type and quality of present construction it is not probable that it will ever exceed a 3rd grade classification.",(No designation) C 2
Stockton,C3,Easterly and McClouds Add.,C,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and transportation.","Proximity to cemetaries, car barns. Threat of business and industrian encroachment.",75,Down,"Artisans, white collar workers, and mill workers",1200-1800,Few None,None ,a threat,Few,Slowly  ,85,10,5,5-6 rooms 4- rooms large outmoded,Frame  ,20  ,Fair to good  ,98  ,60  ,1  ,2500-3500  ,1936 2250-3250 90    ,1938 2250-3250 90    ,3000 fair  ,Fair  ,25- 35  ,1936 2250-3250 90    ,1938 2250-3250 90    ,27.50- good  ,Fair  ,Limited,Limited,"This area has no deed restrictions and while zoned 2-family residential it is predominantly a single family district. This might be termed a buffer area. Its characteristics are largely similar to those of the adjoining higher grade areas to the west while desirability is affected by adjacence to cemeteries, prospective industrial districts and business zoning on Harding & California street. Some of the newer dwellings would be a credit to a 2nd grade area but they are considered misplaced improvements and it is not believed that the area will ever attain a higher grade. Owing to its long term prospects the area can only be accorded a ""low yellow"" grade.",Easterly & McClouds Add. C 3
Stockton,C4,Park View,C,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas, transportation, and to industrial employment.","Proximity to industry, main line railroads and cemetery. Outside city limits. Lacks sewers and fully improved streets.",30,Static to down,"Hospital attendants factory workers, etc.",1000-1500,Few None,None ,A threat,Few,Slowly  ,95,15,,4-5 room  ,Frame  ,15  ,Poor to fair  ,98  ,80  ,None  ,2000-2500  ,1936 1800-2250 90    ,1938 1800-2250 90    ,1800- good  ,Fair  ,15-20  ,1936 15-20 100    ,1938 15-20 100    ,15- good  ,Fair  ,Limited,Limited,"This area has neither deed protection or zoning restrictions. It lies outside the city limits and is a workingmen's district of cheaply constructed single family dwellings. The areas' popularity, which is indicated by its high percent of home ownership and occupancy, is attributed to its convenience to industrial employment. Owing to its poor location and definite threat of business and industrial encroachment the area is accorded a ""low yellow"" grade.",Park View C 4
Stockton,C5,Sunnyside and Bungalow Park,C,Level with no construction hazards.,"Schools, churches, trading centers, and transportation conveniently available.",Proximity to industry in southern portion and business in Western part. Ramona and Hiawatha streets outside city limits lack sewers and fully improved streets.,50,Up to static,"Small business men, factory and service workers, artisans, etc.",1200-2000,Few None,None ,Possible but thought to be remote,None known,Slowly  ,90,,,4 & 5 room  ,Frame & stucco  ,10  ,Fair  ,98  ,60  ,4  ,2500-3000  ,1936 2500-3000 100    ,1938 2500-3000 100    ,2500- good  ,Fair  ,20-30  ,1936 20-30 100    ,1938 20-30 100    ,25- good  ,Good  ,Ample,Ample,"This area is without deed protection but is zoned single family residential with the exception of two eastern tiers of blocks which are outside city limits and east of a district zoned for business. The district is moderately popular one and there is said to be but little sales resistance and a good rental demand for property in this area. However, the area is thought to be poorly located and while recent improvements distinctly indicate a present upward trend this is believed to be temporary, and that the area will in time become static to down. Taking all factors into consideration it is felt that a fair assignment would be a ""high yellow"".",Sunnyside & Bungalow Park C 5
Stockton,C6,El Rocordo Terrace,C,Level with no construction hazards.,"Fairly convenient to grade school, trading center and transportation. Low taxes.","Outside city limits, lacks street improvements, water and sewers.",40,Up to static,"Artisans, WPA workers, common laborers, etc.",900-1500,Few None,None ,Possible but not thought probable,Many,Slowly  ,90,,,3-4 room  ,Frame  ,10  ,Poor to fair  ,98  ,75  ,5  ,1000-1500  ,1936 1000-1500 100    ,1938 1000-1500 100    ,1500- good  ,Fair  ,15-20  ,1936 15-20 100    ,1938 15-20 100    ,20- good  ,Good  ,Limited,Limited,"This area which is outside city limits is partially deed protected, but restrictions are said not to be enforced. It is a low priced laboring district, with improvements and maintenance inclined to be heterogeneous. Residents, while of the low income group, are fairly homogeneous and there are no subversive racial elements. It is possible but not probable that future developments may be of better quality which will permit a higher grade. Under present conditions and outlook the area is accorded a ""low yellow"" grade.",El Rocordo Terrace C 6
Stockton,C7,City Park Gardens,C,"Level with no construction hazards. Low elevation indicates threat of flooded basements at times of high tides, because of hydrosatic pressure. This is ameliorated however, by city pumping plant which is operated to overcome this hazard.",Grade schools and trading center conveniently available. Low taxes.,"Outside city limits. Lack of sewers and fully improved streets. Distance from city center, transportation, high schools, churches, et. Proximity to district zoned for heavy industry. Also see 1a above.",10,Uncertain,"Semi-skilled laborers, white collar workers, etc.",1200-1800,Few None,None ,Remote,None known,Slowly  ,90,,,4-5 room  ,Frame  ,6  ,Fair  ,98  ,75  ,5  ,2000-2500  ,1936 2000-3000 110    ,1938 2000-3000 110    ,2000- fair  ,Poor  ,17.50-22.50  ,1936 20-25 110    ,1938 20-25 110    ,20- good  ,Fair  ,Limited,Limited,"This is a hatched area locted outside city limits and is neither deed protected or zoned. Immediately south of this area is a section bordering the Stockton Channel which is within the city and is zoned ""heavy industrial"" which is a classification that permits ""any use"". This will undoubtedly retard development and unless the situation is changed by rezoning, will probably preclude any favorable development, although the area lies in the general direction of the city's growth. Although the scattered improvements are of fair quality it is not thought feasible to accord higher than a provisional ""low yellow"" grade.",City Park Gardens C 7
