city,holc_region,holc_id,holc_grade,inhabitants_pop_trend,inhabitants_occupation,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,buildings_predominating_pct,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_occupancy_pct,buildings_ownership_pct,buildings_1935_price_range_pct,buildings_1937_price_range_pct,buildings_1939_price_range_pct,buildings_sales_demand,buildings_price_trend,buildings_1935_rent_range_pct,buildings_1937_rent_range_pct,buildings_1939_rent_range_pct,buildings_rental_demand,buildings_rental_trend,buildings_constructed_past_yr,buildings_overhang_holc,buildings_overhang_institutions,buildings_sales_yrs,buildings_sales_holc,buildings_sales_institutions,mortgage_avial,tax_rate_yr,tax_rate_per_1000,area_description,name_location_grade_number,note
Los Angeles,Los Angeles County,A51,A,Rapidly N/A N/A,"Business and professional men, minor executives, white collar clericals, etc. Income $2400-5000",0 -,0,None apparent,90 10,"5, 6 and 7 room bungalows 2 story, 8 rooms",Stucco Few new duplexes along Byrd Avenue,1  year N/A,Good N/A,100% N/A,97% N/A,New area  N/A,N/A N/A N/A N/A,1939 5000-8500 N/A N/A N/A,Fair to good N/A,Static N/A,Not a rent area N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,- N/A,- N/A,600 5-6-7 room stucco bungalows $5000-8500 Readily,0,0,3,2,0,Ample (FHA),8-1939,52.7,"Terrain: Level. No construction hazards. Land improved 40%. Deed restrictions govern improvements and provide uniform “setbacks”, architectural supervision and protection against racial hazards. Conveniences are all readily available. This is a brand new subdivision and is another of the FHA Title II “hot spots”. Platting is particularly attractive and promotional effort is proving effective. Construction is of super standard quality and maintenance bids fair to be of same character. Architectural designs, many of the “Monterey type”, are individually attractive and collectively harmonious. The district is attracting the upper medium income group and is prospectively homogeneous. There are a few duplexes in the district, but, due to planning, they are not inharmonious. The area is splendidly located and pattern well established. However, low equity ownership precludes higher than a “low green” grade at this time.",Morningisde Park 1st -  A-51 3-16-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A52,A,Rapidly N/A N/A,"Business and professional men, minor executives, motion picture people, etc. Income $3000-8000",0 -,0,Slight infiltration of American Jewish families noted,65 35,"7 room, 2 story 6-7 room bungalows",Stucco - some frame Stucco,7 years 7 years,Good Good,98% 98%,95% 95%,6000-9000 5500-6500,6500-10500 N/A 6000-7000 N/A,1939 6750-11000 N/A 6500-7500 N/A,Fair Good,Static to down Stable,Not a rental area Not a rental area,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,- -,- -,200 7 and 8 rooms $7500-12500 Readily,2,few,3,1,Few,Ample,8-1939,52.7,"Terrain: Rolling with no steep grades. No construction hazards. Land improved 65%. Deed restrictions limit improvements to single-family dwellings of a minimum cost of $4000 and protects in perpetuity against subversive racial elements. Conveniences are all reasonably available for a district of this character. This subdivision was platted and placed on the market some 15 years ago; its growth after the initial promotional effort was erratic until about 4 years ago when activity began to increases. Currently it is one of the “hot spots” of the community. Construction and maintenance are of excellent character. Architectural designs, particularly of new improvements, are individually attractive and harmonious as a whole. Population is homogeneous and show a high degree of neighborhood pride. Proximity to numerous motion picture studios, Country Clubs, and the Pacific Military Academy are considered favorable influences. The location is also a favorable one. Lot values range around $30 per front foot. Plans are under way for immediate development of a section between National Blvd., Motor Ave., Exposition Blvd. and Manning Ave., to be known as Cheviot Knolls. This is immediately adjacent to the area and it is thought will, in time, become a part of it. This is a very desirable and active area and is accorded a “medial green” grade.",Monte Mar Vista 1st A-52 3-13-39,
Los Angeles,Los Angeles County,A53,A,Moderately N/A N/A,"Professional and business men, reitred people. Income $3000-7500 and up",0 -,0,None apparent,85 N/A,6 and 7 rooms Multi-family 5%,Stucco and frame 8 rooms and up 10%,6 years N/A,Good N/A,99% N/A,90% N/A,6000-7500 N/A,6500-9000 N/A N/A N/A,1939 6500-9000 N/A N/A N/A,Good N/A,Static N/A,Too few to estimate N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,Good N/A,Static N/A,20 6 and 7 rooms $7500-10000 Readily,0,Very few,3,2,Few,Ample,8-1939,52.97,"Terrain: Level with no construction hazards. Land improved 90%. Deed restricted and zoned for single-family dwellings, multi-family structures being permitted in limited designated area. Conveniences all readily available. Development of this well planned subdivision which was begun just prior to the depression, lagged during its earlier period but during the past several years it has been one of the community's ""hot spots"". Owing to high percent of land improvement, activity is now slowing down. Construction, maintenance and architectural designs are of excellent quality. Population is homogenous and deed restrictions rigidly enforced which largely account for its harmonious appearance and distinct appeal. Despite the area's high state of development, it is believed that owing to the area's location and the evidence of many years of future desirability, it is entitled to a ""low green"" grade.",Willshire 1st - A-53 3-9-39,
Los Angeles,Los Angeles County,A54,A,Very slowly N/A N/A,Millionares (active and retired) Income $50000 and up,0 -,0,None,98 N/A,15 or more room mansions N/A,Stucco and masonry N/A,15 years N/A,Good N/A,100% N/A,100% N/A,50000 and up N/A,60000 and up N/A N/A N/A,1939 65000 and up N/A N/A N/A,Poor except at sacrifice N/A,Static N/A,No rentals except for limited periods and then upon a caretaker basis N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,N/A N/A,N/A N/A,0 - - - -,0,0,3,0,0,Upon personal credit basis,8-1939,52.8,"Terrain: Level – No construction hazards. Land improved 95% out of possible 100%. Deed restricted both as to minimum improvements for many years to come and as to subversive races in perpetuity. Zoned single family residential. Conveniences all readily available. This is an extremely exclusive area which was subdivided some 20 years ago and so deed restricted as to preclude anyone without ample income from becoming residents. It is a walled-in area of some 8 or 9 blocks, parked with provisions for a per front foot annual charge for upkeep. Needless to say, the residents are homogeneous. Construction and maintenance of the highest quality and architectural designs are harmonious. Prices given above are of necessity more or less conjectural as there is no established market prices, considerations being a matter of private negotiation. This is said to be the most secluded district in Southern California, and under the circumstances, it would be incongruous to accord less than the highest residential grade.",Fremont Place 1st + A-54 3-9-39,
Los Angeles,Los Angeles County,A55,A,Moderately N/A N/A,"Professional and business men, retired capitalists, etc. Income $600-6000 and up",0 -,0,None apparent,80 N/A,7 and 8 rooms 5 and 6 rooms 15%,"Frame, stucco and masonry Mansions 5%",10 years N/A,Good N/A,100% N/A,96% No sales recorded,N/A 7500-10000,N/A N/A N/A N/A,1939 7500-10000 N/A N/A N/A,Good N/A,Static N/A,Static N/A,Not a rental neighborhood N/A N/A N/A,N/A N/A N/A N/A N/A,- N/A,- N/A,7 6 and 7 room $7000-9000 Owner built,0,0,3,0,0,Ample up to FHA limit,8-1939,52.3,"Terrain: Low rugged hills and ridges with view locations. Some construction hazards. Land improved 50%; some Homesites include large grounds and orange groves. Deed restrictions are adequate and effective. Provide protection against subversive racial elements. Zoning is single-family residential. Conveniences are not readily available, transportation being entirely by private conveyance. This area is composed of two or more subdivisions, all of which have been placed upon the market within the past 20 years. Development has been steady and without the aid of promotional effort. Many new homes have been built during the past several years ranging from modest 5-room bungalows to spacious mansions surrounded by large grounds and orchards. Activity has been most pronounced in the eastern and southern parts of the area. Construction is from good to extra standard quality. Maintenance is of excellent character, and architectural designs are attractive. Population is homogeneous and location is a highly desirable on account of its proximity to Whittier College. The price ranges shown above are nominal, being based upon an average size home site. This area is not adversely affected by Area C-134 which abuts on the west as the rugged terrain affords a physical barrier to influences from the lower grade area. No detrimental influences were observed and the area is accorded a “low green” grade.",Eastridge 1st - A-55 4-26-39,
Los Angeles,Los Angeles County,A56,A,Rapidly N/A N/A,"Naval officers, business and professional men, Jr. executives, etc. Income $2000-5000 and up",0 -,0,None apparent,90 N/A,"5, 6 and 7 rooms N/A",Frame and stucco N/A,2 years N/A,Good N/A,98% N/A,95% N/A,No basis N/A,4500-8000 N/A N/A N/A,1939 4500-8000 N/A N/A N/A,Good N/A,Static to upward N/A,Not a rental neighborhood N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,Would be good N/A,Upward N/A,125 5-6-7 room $5000-8500 Rapidly,0,0,3,0,0,Ample,8-1939,35.67,"Terrain: Level. No construction hazards. Land improved 60%. Deed restrictions provide for minimum improvement costs of $4000 to be constructed under architectural supervision and approval of subdividers. Racial protection in perpetuity. Conveniences are not as yet fully provided but are said to be in immediate prospect. This area, which was formerly part of the estate of the late Senator W. A. Clark, was subdivided and placed on the market within the past 5 years. Under the influence of high pressure promotional effort and FHA Title II financing development has been very rapid and it has come to be most popular. Long Beach suburb. Construction ranges from standard to extra standard quality. Maintenance is of excellent character and architectural designs are individually attractive and collectively harmonious. Population is homogeneous. The hatched portion to the northwest is a separate subdivision which has just been placed upon the market. Approximately 12 residences are now in course of construction; judging from these improvements, will be more pretentious than those in the unhatched portion. Adjacency to the Lakewood Gold and Country Club is a favorable influence. Reasonable lot values from $12.50 per front foot up are said to have also increased popularity. When conveniences are all available this area will be entitled to a higher grade; at present a “low green” is assigned.",Lakewood Village 1st - A-56 5-1-39,
Los Angeles,Los Angeles County,A58,A,Rapidly  ,"Business & professional men, oil company and refinery executives, etc. Income $3600-7500 and up",0 -,0,,95 ,6 to 8 rooms ,"Frame, stucco & masonry ",3 years ,Good ,99% ,95% ,Not established ,"7000-10,000   ","1939 7000-10,000   ",Good ,Static ,Not a ,rental   , neighborhood   ,-- ,-- ,"200 6 to 8 rooms $7500-10,500 Readily",0,0,3,0,0,Ample,7-1938,52.50 County 37.80 - City $14.70,"Terrain: Level, no construction hazards. Land improved 75%. Highly deed restricted as to improvement costs, location and architectural designs and provides for racial protection in perpetuity. Conveniences are reasonably or readily available. This is the best residential area in Long Beach and is a recent development. Construction is standard quality or better. Maintenance of good quality. Architectural designs are harmonious. Population is homoegeneous. Adjacence to Virginia Country club is a favorable factor. Proximity to oil wells, refineries, etc. is a detrimental influence; however, no odors were detected and informed local opinion is that this factor is not a deterrent. Recent drilling for oil, east of Cherry and south of Carson, brought in a ""dry well"" and a movement is said to be on foot to get the county to zone against future operations of this kind. If this is successful it is said that vacant property east of California and south of San Antonio Drive will be subdivided and developed in harmony with this area. This is a ""hot spot"" and lots are selling from $1000 and up, according to size and location. Location of this area is very favorable and a continued upward trend is indicated. It is therefore accorded a ""medial green"" grade.",Oak Knolls 1st A-58 5-3-39,
Los Angeles,Los Angeles County,A59,A,Moderately N/A N/A,"Professional and business men, retired capitalists executives, etc. Income $5000-10000 and up",0 -,0,More moderate income families are coming in as a result of deed restriction modification,N/A N/A,Well built 6 room to manison type dwellings N/A,Stucco N/A,10 years N/A,Good N/A,99% N/A,95% N/A,7500 and up N/A,7500 and up N/A N/A N/A,1939 7500 and up N/A N/A N/A,Poor to fair N/A,Static N/A,Not a rental area N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,- N/A,- N/A,20 6 rooms and up $8500 and up Owner built,0,Few,3,0,Few,Ample,7-1938,58.5,"Terrain: Slightly rolling to steep hillside with many construction hazards. Land improved 10% out of maximum of 50%. Deed restrictions provide for minimum improvement cost of $6000 with construction supervised by subdividers. Restrict ownership to the Caucasian race in perpetuity. All providers are strictly enforced. Deed restrictions formerly provided for a much higher minimum cost of improvement but were modified as above some 5 years ago. Conveniences are very largely lacking. Schools, churches, trading centers and transportation all being inadequate. This area was formerly part of an old Spanish grant which was taken over by Frank Vanderlop, formerly Secretary of Treasury, who began active development in 1923. Compared with other sections of the city development has been exceedingly slow. Modification being at a peak at the present time. The location has great charm and offers a magnificent view of the Pacific Ocean. Construction and maintenance are of excellent quality. Architectural designs are of the best and population is highly homogeneous. The area is protected from the adverse influence of area C-161 to the north by virtue of the hill terrain. Improvements range from expensive 6 room dwellings to mansions with large surrounding estates. There is no predominating type. One authority ventures the opinion that “Palos Verdes Estates” is one of the highest class subdivisions is Southern California. The northern part of this area (north of the Palos Verdes line) is a separate subdivision known as “Hollywood Riviera”. The characteristics of this section are very similar those of Palos Verdes Estates; however, deed restrictions have not been modified and minimum improvement requirements are so high that land improved is only about 5%, and it is not believed that a successful development is feasible until some adjustment of restrictions is made. This subdivision was placed upon the market some 25 years ago. Under normal conditions this area, as a whole, should make rapid strides during the next 10 years and it is assigned a “hatched green” grade.",Palos Verdes Estates and Hollywood Riviera Hatched 1st A-59 3-20-39,
Los Angeles,Los Angeles County,A60,A,Rapidly N/A N/A,"Professional and business men, executives and retired people. Income $4000-8000",0 -,0,None apparent,90 10,"6, 7 and 8 rooms Larger structures",Stucco N/A,4 years N/A,Good N/A,99% N/A,99% N/A,5500-9000 N/A,6000-10000 N/A N/A N/A,1939 6000-10000 N/A N/A N/A,Fair N/A,Static N/A,This is not a rental area N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,N/A N/A,- N/A,20 6 to 8 room bungalows. $6000-12000 Owner built,0,0,3,0,0,Ample,7-1938,58.5,"Terrain: Hillside and hilltop with no serious construction hazards. Land improved 10% out of a possible 60%. Deed restrictions provide minimum improvement cost and architectural supervision. Uniform set backs are set forth and ownership is limited to the Caucasian race in perpetuity. Conveniences are as yet inadequate. Being a two-car garage neighborhood the effect of this is minimized. This area was subdivided within the past 10 years, but active development has occurred within past 5 years. The location is one of great charm and affords a magnificent view of San Pedro Harbor and the Pacific Ocean beyond. The parkways are beautifully landscaped and well kept. Construction and maintenance are of excellent character. Architectural designs are harmonious and add greatly to the attractiveness of the area. Population is highly homogeneous. The subdivision is under the same supervision as that of Palos Verdes Estates. This is, in many respects, the most desirable residential area in the whole “harbor” district, and its present pattern indicates a high first grade; however, owning to low percent of development it can only be assigned a “hatched green” grade, at this time.",South Palos Verdes Hatched 1st A-60 3-22-60,
Los Angeles,Los Angeles County,B1,B,Rapidly N/A N/A,"Local merchants, business and professional men, hospital executives and white collar works. Income $2000-5000",Few None subversive,0,None apparent,90 10,5-6 rooms Larger dwellings,Frame and stucco N/A,12 years N/A,Fair to good N/A,98% N/A,75% N/A,3000-4500 N/A,3500-5000 N/A N/A N/A,1939 3500-5000 N/A N/A N/A,Fair to good Static,25-40 N/A,25-40 N/A,30-45 N/A N/A N/A,1939 30-45 N/A N/A N/A,Good N/A,Static N/A,25 5-6 room stucco $4000-5500 Owner built,0,Few,3,0,Few,Ample on selected risks,7-1938,52.7,"Terrain: Level with no construction hazards or flood threats. Land improved 45% developed. Deed restrictions have expired. Zoning limits to residential structures-largely single family. Conveniences are al readily available. (For background of community see Area description C-3). This area was platted many years ago but real development did not begin until a comparatively few years ago, its greatest activity having been under the stimulus of FHA financing. In consequence of this delayed development of the area uniformity of improvements are fairly harmonious. Construction and maintenance are of fair to good character and the population as a whole is homogenous. Present indications are that the area is on the upgrade. However, it is believed that this is largely temporary and that a grade of “low blue” is a true reflection of the area.",San Fernando 2nd - B-1 3-25-39,
Los Angeles,Los Angeles County,B2,B,Moderately N/A N/A,"Professional and business men, public employees, skilled artisans, retired people and white collar workes. Income $1500-2500",Few None subversive,0,Area apparently grading upward and extending to the North.,90 10,5-6 rooms 7 rooms,Frame and stucco N/A,12 years (new to 25 years) N/A,Fair to good N/A,98% N/A,80% N/A,3000-4000 N/A,3500-4500 N/A N/A N/A,1939 3750-5000 N/A N/A N/A,Good N/A,Static N/A,30-40 N/A,35-45 N/A N/A N/A,1939 35-50 N/A N/A N/A,Good N/A,Static N/A,45 5-7 rooms $4250-6750 Moderately,0,Many,3,1,Few,Ample,7-1938,55.5,"Terrain: Level with no construction hazards. Minimum flood menace. Land improved 65%. Deed restrictions are old and said to be inadequate but protects against racial hazards. Zoning limits to residential structures – largely single-family. Conveniences are all readily available including interurban transportation to Los Angeles City Center. The town of Van Nuys was started some 25 to 30 years ago as a high powered real estate promotion of the lunch and lecture type. However, it has had a good steady growth. It is now part of the city of Los Angeles and as it contains the branch City Hall for the San Fernando Valley it might be termed the Municipal capital of that region. This area is the best residential section of the community. Construction, particularly of newer improvements, is generally of good quality. Maintenance usually shows pride of occupancy and population is homogeneous. Wide spread in age and architectural designs give the area a some-what heterogeneous aspect. Under stimulus of FHA financing there has been a substantial amount of new construction in the past two years, the character of which indicates an upward trend in the area, and it is therefore accorded a “low blue” grade.",Van Nuys 2nd - B-2 3-23-39,
Los Angeles,Los Angeles County,B3,B,Rapidly N/A N/A,"Motion picture executives, actors and technicians, business and professional men. Income $2000-10000 and up",Few None subversive,0,None apparent,85 N/A,"5, 6 and 7 rooms Large estate type 5%",Frame and stucco 8 rooms or more 10%,2 years N/A,Good N/A,98% N/A,90% N/A,None existed N/A,5250-8500 N/A N/A N/A,1939 5250-8500 N/A N/A N/A,Good N/A,Static N/A,No record of any rentals N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,-- N/A,-- N/A,100 5-7rooms $4500-8500 Readily,0,0,3,0,0,Ample,7-1938,55.5,"Terrain: Level. No construction hazards or flood threats. Land improved: 25% if unplatted portion is eliminated. Deed restrictions are said to be of high order with perpetual protection from racial hazards. Conveniences are all reasonably available. This is a very recent subdivision having been placed upon the market during past several years. Under stimulus of growing popularity of San Fernando Valley. Locations, well directed promotional effort and FHA financing, growth of the district has been very rapid. Much of area is still in citrus orchards and unplatted, but are said to be in line for early development. Construction and maintenance are uniform and of high character. Population is homogeneous and architectural designs are harmonious. There are a number of estate type homes, with extensive parked grounds scattered throughout the district. Both Jackie Coogan and Louise Fazenda, of motion picture fame, occupy improvements of this kind. The price bracket shown above is nominal, as home sites, which are usually extensive, vary materially in size and price. As indications point to a higher grade this area is accorded a provisional “medial blue” grade.",Southeast Van Nuys 2nd B-3 3-23-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles Count,B4,B,Rapidly N/A N/A,"Small business and professional men, white collar workers, skilled artisans, etc. Income $1500-$2400",0 -,0,None apparent,90 N/A,4 and 5 rooms N/A,Stucco N/A,1 year N/A,Good N/A,99% N/A,99% N/A,Undeveloped N/A,Undeveloped N/A N/A N/A,1939 2500-4000 N/A N/A N/A,Fair N/A,Static N/A,No rents in this area N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,-- N/A,-- N/A,120 4 and 5 room $2500-4000 Moderately,0,0,3,0,0,Ample FHA otherwise limited,7-1938,52.69,"Terrain: Level sandy treeless area with no construction hazards or flood threats. Land improved 15%. Deed restrictions are said to exist. (Terms not learned). Conveniences are available but not conveniently so. There are no sewers and many streets are unimproved. This is a recent subdivision, placed on the market between 2 and 3 years ago. Early development was largely accomplished through FHA Title I class 3 financing but currently this has been abandoned and FHA Title II substituted. Construction ranges from standard to substandard quality. Maintenance indicates pride of ownership and architectural designs are attractive. Population, while apparently homogeneous, is of the low income group. Improvements are said to be speculatively built and are not moving readily. The location is barren of verdure which gives it a drab appearance. The area is without appeal and its patter is by no means established, it is therefore accorded a provisional hatched “low blue” grade.",Lankershim Hatched 2nd - B-4 3-30-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B5,B,Rapidly N/A N/A,"Business and professional men, motion picture employees, skilled artisans, white collar workers, etc. Income $1800-4000",0 -,0,None apparent,90 N/A,5-6 room bungalows N/A,Stucco - some frame N/A,5 years N/A,Fair to good N/A,97% N/A,75% N/A,3500-6000 N/A,4000-6500 N/A N/A N/A,1939 4000-6500 N/A N/A N/A,Good N/A,Static N/A,30-45 N/A,35-50 N/A N/A N/A,1939 35-50 N/A N/A N/A,Good N/A,Static N/A,125 5-6 rooms $4500-6500 Moderately,1,0,3,2,Few,Ample,7-1938,52.68,"Terrain: Level with no construction hazards. The eastern portion borders Victory Wash and suffered some damaged during the 1938 floods. Flood control projects since completed are said to have overcome this threat. Land improved 40%. Deed restriction provide for single-family structures and protect against racial hazards. Conveniences are all readily available. This area was subdivided between 10 and 15 years ago, but development stopped during the depression and it was only within the past 5 years that activity began again. Currently the area is going ahead rapidly. Construction is of good character, and maintenance indicates pride of occupancy. New improvements are of better quality and architectural designs more attractive. Population is generally homogeneous. The area is characterized by its large home sites and well-kept grounds. Diversity in age of improvements gives a slightly spotted aspect which, however, will be less apparent as further development takes place. The area is favorably located and there is every evidence of a continued improvement. It is therefore accorded a “medial blue” grade.",North Hollywood 2nd B-5 3-30-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B6,B,Rapidly N/A N/A,"Business and professional, skilled labor, white collar and retired people. Income $1800-3000",0 -,0,None apparent,85 N/A,5-6 room N/A,Frame and stucco N/A,5 years N/A,Fair to good N/A,98% N/A,75% N/A,4000-4500 N/A,4500-5000 N/A N/A N/A,1939 4500-5000 N/A N/A N/A,Fair to good N/A,Static N/A,35-45 N/A,40-50 N/A N/A N/A,1939 40-50 N/A N/A N/A,Good N/A,Static N/A,75 5-6 room $4250-5800 Moderately,0,Few,3,2,Few,Ample,7-1938,56,"Terrain: Level with no construction hazards. Land improved 60%. Deed restrictions are said to exist limiting improvements to single-family dwelling but terms are not definitely ascertained. Conveniences are all readily available. There are no sewers and many streets are unimproved. This area was subdivided some 10 years ago but development was interrupted by the depression and was not renewed until 3 or 4 years ago. Since that time under the stimulus of demand for San Fernando Valley homes, some speculative building and FHA Title II financing, it has again become active. With two distinct periods of development both construction and architectural designs lack uniformity, and the older structures detract from the appearance of the area. Construction in both periods was of good quality from the appearance of the area. Construction in both periods was of good quality and maintenance generally indicates pride of occupancy. While new improvements are scattered throughout the area they predominate in the northeast section, while the older structures are more numerous in the central portion. There is said to be considerable speculative building in the area which have not been sold and constitute an “overhang”. The area is well located and were it not for newer competing area would probably make a better showing under the circumstances it is felt that a “low blue” grade is all that is warranted.",North Hollywood 2nd - B-6 3-30-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B7,B,Rapidly N/A N/A,"Studio technicians, public employees, business and professional men. Income $2000-5000 and up",0 -,0,None apparent,95 N/A,5-6 room stucco N/A,Stucco-few frame N/A,2 years N/A,Good N/A,99% N/A,90% N/A,Undeveloped N/A,5100-6500 N/A N/A N/A,1939 5100-6500 N/A N/A N/A,Good N/A,Static N/A,No record of rentals in this area N/A,N/A N/A N/A N/A,N/A N/A N/A N/A N/A,N/A N/A,-- N/A,200 5-6 room stucco $5100-6500  Rapidly,0,0,3,0,0,Ample,7-1938,52.68,"Terrain: Level with favorable grades. No construction or flood hazards. Land improved 45%. Deed restrictions limits structures to single-family dwellings and protects in perpetuity against racial hazards. Conveniences are not readily available and many streets are still unimproved. There is every indication that all these deficiencies will be supplied in a reasonable time. This area has been subdivided and developed within the past 3 years as a result of the popular demand for San Fernando Valley locations and ease of financing. It is currently one of the “hot spots” of the community. Construction and maintenance are of excellent character. Architectural designs are pleasing and harmonious. Populations homogenous and stable. Home sites are usually commodious in size and are being attractively improved. Although bounded by the Los Angeles River on the south and the Tujunga Wash on the north and cast the area suffered no damage from the 1938 floods. This area is popular and is favorably located and when conveniences are supplied it is thought will warrant a higher grade. In the meantime, however, it is accorded a “high blue” designation.",North Hollywood 2nd + B-7 3-25-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B8,B,Slowly N/A N/A,"Business and professional men, retired people, motion picture minor executives, white collar clericals, etc. Income $2000-5000 and up",0 -,0,None apparent,85 N/A,6-7 room bungalows Larger dwellings 5%,Stucco 5 rooms 10%,12 years N/A,Good N/A,99% N/A,60% N/A,4500-5500 N/A,4750-5750 N/A N/A N/A,1939 4750-5750 N/A N/A N/A,Good N/A,Static N/A,42.50-50 N/A,45-55 N/A N/A N/A,1939 45-55 N/A N/A N/A,Good N/A,Static N/A,7 6-7 rooms $6000-7000 Owner built,0,Few,3,0,Few,Ample,7-1938,52.68,"Terrain: Level with no construction hazards or flood threats. Land improved 85%. Deed restrictions provide for single-family improvements, uniform set-backs, and perpetual protections form subversive racial hazards. Conveniences are all readily available. This area was subdivided some 20 years ago and has since experienced an orderly development. It is considered one of the most stable residential area in San Fernando Valley. Construction and maintenance are of good character. Improvements are of harmonious designs and population is homogeneous. Indications are that it will retain its desirability for many years to come and it is therefore accorded a “high blue” grade.",Lankershim Dist. 2nd + B-8 3-30-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B9,B,Rapidly N/A N/A,"Skilled artisans, public employees, white collar workers, motion picture employees. Income $1800-3000",Few None subversive,0,None apparent,90 N/A,"4, 5 and 6 room N/A",Frame and stucco N/A,5 years N/A,Fair to good N/A,98% N/A,70% N/A,2500-5000 N/A,3000-5500 N/A N/A N/A,1939 3000-5500 N/A N/A N/A,Fair to good N/A,Static N/A,25-50 N/A,27.50-55 N/A N/A N/A,1939 27.50-55 N/A N/A N/A,Good N/A,Static N/A,75 5 and 6 rooms $4250-5750 Moderately,1,Many,3,3,Few,Ample,7-1938,55.5,"Terrain: Level with no construction hazards. Floor control work is thought to have removed flood threat. Land improved 30%. Deed restrictions are said to be loosely drawn but do protect from racial hazards. Schools, churches and trading centers conveniently available and transportation fairly so. This area which is bounded on the north by the Los Angeles River was subdivided some 10 or 15 years ago. Early development was of poor class and activity was at a standstill during depression years. With the advent of FHA financing a revival took place, but it has only been during the past few years that its full stimulus has been felt. During the earlier part of this period it is said that a number of Title I class 3 dwellings were constructed in the eastern part. This type of building has now been discontinued. Much of the earlier construction was substandard with some “Jerry” building but later improvements have been of much better quality. Maintenance is inclined to be spotted, particularly in the eastern part. Better architectural designs have greatly improved the aspect of the area in the past 2 years. Population is inclined to be slightly heterogeneous. This is medium priced home district, which is favorably affected by the adjoining 1st grade area to the south. The trend of the area seems to be upward and upon this theory it is accorded a “low blue” grade.",South Van Nuys 2nd - B-9 2-23-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,B10,B,Rapidly N/A N/A,"Business and professional men, motion picture employees, executives and clerical workers. Income $2500-5000",Few None subversive,0,None apparent,95 N/A,5-7 room bungalows N/A,Stucco N/A,3 years N/A,Good N/A,98% N/A,85% N/A,Undeveloped N/A,5000-7500 N/A N/A N/A,1939 5000-7500 N/A N/A N/A,Good N/A,Static N/A,Undeveloped N/A,45-65 N/A N/A N/A,1939 45-65 N/A N/A N/A,Good N/A,Static N/A,"75 5, 6 and 7 room bungalows $5000-7500 Readily",0,0,3,0,0,Ample,7--1938,52.68,"Terrain: Level with no construction hazards or flood threats. Land improved: Hatched portion 10%, unhatched 55%. Deed restrictions limit structures to single-family dwellings, provide for architectural supervision and uniform “setbacks” and protect against subversive racial influences in perpetuity. Conveniences are all readily available. This area has been developed in the past few years by high class subdividers and under stimulus of promotional effort and FHA Title II financing has had a very rapid growth. Construction and maintenance are of excellent character. Architectural designs are harmonious, and population is homogeneous. This area is splendidly located and it has many of the same characteristics as area A-2 and B-5. While there are indications of upward trend, it is thought that at present it should be accorded a “high blue” grade.",North Hollywood 2nd + B-10 3-25-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
