city,holc_id,name,holc_grade,name_location_grade_number,area_terrain,area_favorable_influences,area_detrimental_influences,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_sale_rental_history,area_pct_improved,buildings_occupancy_pct,buildings_ownership_pct,buildings_sales_demand,buildings_sales_price_range,buildings_sales_activity,buildings_rental_demand,buildings_rental_price_range,buildings_rental_activity,buildings_constructed_past_yr_type_price,buildings_constructed_past_yr,mortgage_avial_home_purchase,mortgage_avial_home_building,area_desirability_trend,clarifying_remarks,information_source
East Bay,A11,NA,A,"Oakland, California Green A-11","Steep slopes, land platted to minimize grades",Homogeneous area of mansion type homes with unsurpassed view. Zoned for single-family residences. Restricted to racial occcupants and class of homes.,"Lack of adequate local and San Francisco transportation; distance from schools, shopping centers and churches","Professionals, executives and business men",3000 - 10000,no concentration N/A,no N/A,lower grade - no,none,yes ,"2-story, 7-room, single-family",frame and stucco,3 (new to 7) years,excellent,same as current 9500 same as current  1933-34 6000 - 10500 7500 79%    1937 8000 - 15000 9500 100%       ,,,,,,,,,,,,,,,,  
East Bay,B1,NA,B,"Berkeley, California Blue B-1","Undulating and hilly, with sloping tendency toward west","Schools, local shopping centers and transportation conveniently available. Homogeneous area of modern bungalows and two-story homes",None,"Professional, business men, service workers","2,000 - 3,600",no concentration N/A,no N/A,undersirables: remote,none known,Rapidly ,single-family detached,stucco predominates,10 years,good,"4.500 - 6,750 5,500 40 - 55 47.5 1933-34 3,000 - 3,600 3,300 60% 30 - 35 30 63% 1,937 3,600 - 4,800 4,500 82% 35 - 40 40 84% 1927 102% 1927 100+%",75%,99%,85%,good,"5-rm, 4,000",fair,none,"5-rm, 35",fair,"6-room, 5,500","2 homes, averaging 5,600, including lot",ample,ample,upward,"Eastern section of this area could be graded ""high"" blue. Maintenance of both grounds and improvements is of good order. Zoned first residential (single-family). District known as Solano Terrace.","Sutliff Realty & Finance Company, Berkeley, California. Building Department and Engineer's Office Records, City of Berkeley, Cal. Ralph E. Prentice 6/15 7"
East Bay,B2,NA,B,"Albany, California Blue B-2",Level,"Schools, recreation areas, shopping centers and transportation conveniently available. Low taxes",Subject to fogs and wind,Professional and white collar workers,"2,000 - 3,000",no concentration N/A,no N/A,undesirables: remote,very few,rapidly ,single-family detached,stucco predominant,5-10 years,good,"4,500 - 6,000 5250 40 - 50 47.5 1933-34 3000 - 3750 3400 65% 30  - 37.5 32.5 68% 1937 3,750 - 5,500 4,500 86% 35 - 45 40 84% 1927 102% 1927 100+%",65%,93%,90%,good,"5-rm singles, 4,500 if new to 5,000",good,fair,"5-rm, 35",fair,"5 & 6-rm stucco bungalow, 4,500-5,750",75 in 1936,ample,ample,Upward,"This is the fastest groqing section of the city of Albany. Many blocks in this area, especially around City Park, could be classified as ""High"" Blue. This is a new district and maintenance of both improvements and grounds is of a high order. Zoned first residential. many F.H.A. and California Veterans' loans have been made in this area. Most of the new homes built here are between Key Route Boulevard and Evelyn Street. Current predominating values are for homes several years old. The many newly built homes sell at prices considerably higher (on long term F.H.A. loans) than the predominating average. Chas. M. Macgregor, a speculative builder has built many of the homes in this area.","Sutliff Realty & Finance Company; Berkley, City of Albany, Building Department; Ralph E. Prentice 6/15 7"
East Bay,B3,NA,B,"Albany, California Blue B-3","Undulating, with sloping tendency toward west","Schools, local shopping center and transportation conveniently available. Low city taxes.",Practically none,"Professional, white collar and service employees","1,800 - 2,500",no concentration N/A,no N/A,Lower classes: remote,Very few,moderately ,single-family detached,stucco predominates,12 years,good,"4,000 - 5,500 4,750 35 - 50 45 1933-34 2,500 - 3,500 3,000 63% 25 - 35 20 67% 1937 3,000 - 4,500 3,750 79% 30 - 40 35 78% 1927 102% 1927 100+%",80%,99%,80%,good,"5-rm single, 3,750, if new, 4,500",good,good,"5-rm single, 35",fair,"5 & 6-rm stucco, 4,500-55,00",15 in 1936,ample,ample,stable,"Homogeneous neighborhood; upkeep showing high degree of pride of ownership. Some blocks in southern part, surrounding the Catholic School, are considerably older, some being as much as twenty years old. Zoned, first residential. Most of the beforementioned new construction occurred in western part of area.","Sutliff Realty & Finance Company, Berkeley, Building Inspection, City of Albany; Ralph E. Prentice 6/15 7"
East Bay,B4,NA,B,"Berkeley, California Blue B-4","Hilly, with moderately steep grades. Platted to conform to topography.","Good view in upper section of area; nearness to schools, transportation and local shopping center","Some lack of homogeneousness, owing to sprinkling of older types of homes.",Professional and business men; white collar workers,"2,500 - 4,000",no concentration N/A,no N/A,Undesirables: remote,none known,moderately ,single-family houses and bungalows,stucco and frame,18 (10 to 35) years,mostly good,"5,00 - 7,500 6,500 47.5 - 70 60 1933-34 3,500 - 5,000 4,000 62% 35 - 50 40 65.50% 1937 3,500 - 6,000 4,750 74% 42.5 - 55 47.5 79+% 1927 102% 1927 100+%",85%,99%,85%,fair,"6-rm, 5,000",fair,none,"6-rm, 45",fair,"6-rm, 6,500",4 houses 1936,ample,ample,Stable,"Lot values in this area are high, which has tendency to deter speculative building. Very little new home construction and practically no speculative building. District known as Northbrae, Buena Vista Tracts, etc. Zoned, first residential is north, east and southern part of area. The central part of area is unrestricted as to type of residential building. However, there were no apartments or multiple dwellings built in 1936.","Sutliff Realty & Finance Company; Harold W. Jewett; City of Berkeley, Building Inspection Department, Ralph E. Prentice 6/15 7"
East Bay,B5,NA,B,"Berkeley, California High Blue B-5","Hilly, steep lots in north and eastern portion of area. Central, western and southern part fairly level.",Schools and transportation conveniently available; nearness to University of California. Good view of San Francisco Bay.,"Tendency toward possible slide ocnditions. Twenty three years ago, before streets were made permanent, several blocks in proximity of D-1, showed slide tendencies.","Professional, business men and teachers","2,500 - 5,000",no concentration N/A,no N/A,Undesirables: remote,none known,moderately ,single-family 2-story,frame or stucco,18 (new to 35) years,good,"8,000 - 12,000 9,500 70 - 85 75 1933-34 5,000 - 7,000 6,000 63+% 45 - 55 50 67% 1937 6,000 - 8,250 7,000 74+% 55 - 65 60 80% 1927 102% 1927 100+%",80%,99%,80%,fair,"7-rm, 6,500",fair,none,"7-rm, 50",good,"7-rm, 9,000",39 new homes in 1936 & 1 multi-unit dwelling,ample,ample,"stable, rather than static","Nearness to University of California added to stability of this section during depression and will continue to increase the desirability of property in the area. Topography protects area from any great increase of multiple units, quite a few which exist in the area south of Vine. Zoned, first resdidential, north of Vine Street and the southern extention of the area. This extension, called the Kellogg Trace, contains fine one-family homes. The main part of the area is known as Berkeley View Terrace. Some of the homes built in this area were even more expensive than those built in A-1 area. A very desirable neighborhood; most mortgage institutions offer maximum term loans here.","Sutliff Realty & Finance Company, Harold W. Jewett, City of Berkeley Building Department Records; Ralph E. Prentice. 6/15 7"
East Bay,B6,NA,B,"Berkeley, California High Blue B-6",Level,"Homogeneous area of modern and new well built homes. Convenient to local and San Francisco transportation, schools and local shopping center. Well paved streets. Vacant land to south offers some expansion possibilities.","Area too small anf too near to unfavorable influences to rank with the better districts of upper Berkeley. With completion of present building program, will become static. Does not appeal to higher income classes.","Minor executives, Professional and business men","2,500 - 5,000",no concentration N/A,no N/A,undesirables: no,None,rapidly ,single-family homes,good - stucco,6 years,"good, well kept","6,500 - 8,500 7,500 50 - 65 60 1933-34 4,500 - 6,000 5,250 70% 35 - 50 42.5 71% 1,937 5,250 - 7,250 6,250 83.5% 40 - 55 47.5 79+% 1927 102% 1927 100+%",40%,97%,95%,good,"6-rm, 6,500",good,poor,"6-rm, 45",poor,"6-rm, 6,500","12 homes, 1 duplex",ample,ample,"upward ten years, then static","(7) Federal Housing and California Veterans' Loan Funds are mostly buyers at sale prices, high in proportion to rental values. (10-a) There is little rental activity , since the homes are built to sell, not rent. District is known as Winfield Place. Is unrestricted as to residential building. Multiple units allowed. However, there was only one duplex built in the area of 1936. A ""Spotless town"" neighborhood of home owners, showing high order of maintenance. Were it not for small size and lack of restrictions, this area would be graded ""A"".","Sutliff Realty & Finance Company, Harold W. Jewett, City of Berkeley, Building Department; Ralph E. Prentice. 6/15 7"
East Bay,B7,NA,B,"Berkeley, California High Blue B-7","Characterized by steep slopes and hills, which lend themselves to view home locations and landscaping; streets platted to minimize grades",Inspiring view location,"Distance from transportation, schools, and local shopping centers","Professional, business men, executives, retired capitalists","3,000 - 10,000",no concentration N/A,no N/A,Undesirables: no,none,slowly ,"single-family, 2-story",frame and shingle,15 years,very good,"9,000 - 15,000 11,000 30 - 100 90 1933-34 5,500 - 8,500 7,500 68% 50 - 60 55 62% 1937 6,500 - 10,000 8,500 77% 63 - 70 65 72.5% 1927 102% 1927 100+%",25%,99%,90%,poor,"7-rm, 7,000",slow,none,"6 & 7-rm, 60",little,"10,000 type",1 home in 1936,N/A,N/A,static,"(1) This would be classified as Green, except for average older age of homes and lack of restrictions. (6) There are a few modern stucco homes, but older type predominate; houses built here since 1930. (7) Property values here have not fluctuated as greatly as in many areas, neither will there be a great recovery in values due to age of improvements. (9) Steep lots and high land prices limit speculative demand. District known as University Terrace and is unrestricted residential. There were no multiple unit dwellings built here in 1936, however.","Sutliff Realty & Finance Company, Charles Gwynn, East Bay Realty Company, Berkeley, City of Berkeley, Building Department Records; Ralph E. Prentice 6/15 7"
East Bay,B8,NA,B,"Berkeley, California High Blue B-8",Level,"Excellent local and San Francisco transportation; convenient to schools, University of California, recreational facilities and local shopping centers","Older type homes, though dignified, show age due to difference in architectural design","Professional, business men, white-collar class, teachers","2,500 - 5,000",no concentration N/A,no N/A,Lower classes: remote,none known,moderately ,large 2-story homes,frame predominates,22 years,good,"7,500 - 15,000 10,000 70 - 125 100 1933-34 4.500 - 6,500 5,500 55% 40 - 60 50 50% 1937 5,000 - 7,000 6,000 67% 45 - 75 65 65% 1927 102% 1927 100+%",95%,98%,80%,fair,"7-rm, 5,500",slow,good,"7-rm homes, 50",fair,"5 & 6-rm, 6,500",5 new homes 1936,ample,ample,static to downward,"(5-g) Some tendency toward multiple units which will increase the population. Is zoned for unlimited type residential, group dwellings. High Price of the few vacant lots in this area, prohibits speculative building. Formerly was one of the best residential areas in Berkeley. This area is generally known as Elmwood Park.","Charles Davis of East Bay Realty Company, Berkeley; Ralph Spencer, Oakland; City of Berkeley Building Department; Ralph E. Prentice 6/15 7"
East Bay,B9,NA,B,"Oakland, California Low Blue B-9",Level,"Homogeneous area of older type, large homes. Pretty, tree lined streets; convenient local and San Francisco transportation, schools and local shopping centers. Good climate.",Homes showing age,"Professional, business men, minor executives and white-collar class","2,500 - 3,500",no concentration N/A,no N/A,none yet,very few, ,2-story homes,frame or stucco,25 years,good,"6,000 - 9,000 7,500 50 - 80 65 1933-34 3,750 - 5,750 4,500 60% 37.5 - 50 42.5 65% 1937 4,250 - 7,050 5,250 70% 42.5 - 55 47.5 73% 1927 102% 1927 100+%",98%,98%,90%,fair,"7-rm house, 5,000",fair,fair,"7-rm house, 45",fair,"2-story house, costing 11,000, including lot",1 in 1936,fair,limited,static to downward,"(3) This was formerly one of the best residential districts of north Oakland. (7) This district maintained its values in proportion to 1926 fairly well, but lack of new construction and natural decline of improvements due to depreciation, has limited the recovery. There was no boom here, neither great decline. (10) Not much rental activity as houses are mostly owner occupied. Area was formerly known as Claremont Avenue Tract or Fairview Park. (This designation is now antiquated.) Assessment of land values seems high. There is an inclination to modify lending terms in this area.","City of Oakland, Records of Building Inspector's Office; Ralph E. Prentice; Ralph Spencer, Oakland 6/15 7"
East Bay,B10,NA,B,"Oakland, California High Blue B-10",Level,"Harmonious small area of new, very attractive, well built homes. Convenient to local and San Francisco transportation, schools, and local shopping centers. Well paved streets, underground utilities (electric, etc.)",Area too small and completely surrounded by old homes and other unfavorable influences.,"Minor executives, business men","3,000 - 5,000",Italian 5%,no N/A,Undesirables: no,none,slowly ,"spanish type, six-rm homes prevail",stucco,6 years,very good,"6,500 - 8,500 7,500 55 - 70 60 1933-34 5,500 - 7,500 6,500 87% 45 - 60 52.5 37.50% 1937 6,000 - 8,000 7,500 100% 50 - 65 57.5 96% 1931 100% 1931 100+%",90%,100%,95%,slow,"6-rm, 7,000",slow,none,"6-rm homes, 50",nil,"6 & 7-rm houses averaging 9,600, including lots",2 in 1936,ample,ample,static to downward,"(3) Known as Idora Park; was subdivided, sold and built up in 1931-1932. (5-a) Well to do Italians prevail. Little building activity because there are very few vacant lots left. (9-c) Sales activity slow because there are no offerings. The type and quality of construction would justify a Green (A) rating, but size and surrounding of area, adversely affected. (10-c) Rental activity nil because of high percentage of home ownership.","City of Oakland, Records of Building Inspector's Office; Ralph E. Prentice; Ralph Spencer 6/15 7"
East Bay,B11,NA,B,"Oakland, California High Blue B-11",Level to rolling,"Convenient to local and San Francisco transportation, schools, local shopping district. Good climate, free from high winds.","Mixed types of homes; new, modern and old; heterogeneous","Profession, business men and executives","2,500 - 6,000",no concentration N/A,no N/A,undesirables: remote,none known,slowly ,"Fine homes, old or modern","frame, shingle, or stucco",15 years,very good,"7,000 - 12,000 9,000 65 - 95 80 1933-34 4,500 - 7,500 6,000 66.50% 40 - 65 52.5 66% 1937 5,500 - 8,000 7,000 78% 45 - 70 60 75% 1927 102% 1927 100+%",90%,98%,85%,good,"6 & 7-rm, 6,500",fair,good,"6 & 7-rm, 55",fair,"6 & 7-rm detached averaging 8,750, including lot",7 in 1936,ample,ample,"Northeastern, up; southwestern, problematic","This area is generally known as RockRidge. It is difficult to prognosticate the future trend of the southern and southwestern arms of this area. The future of the southern extension will proably be determined by the future development of the adjacent undeveloped area, which, for the sake of conservation, has been hashed Blue. The southwest portion will probably trend upward for some years and then follow the very old, but respectable C-10 area into gradual decline.","City of Oakland, records of Building Inspection Department; Ralph E. Prentice; Charles Gwynn 6/15 7"
East Bay,B12,NA,B,"Oakland, California High Blue B-12","Rolling, parts of which are characterized by steep slopes and bluffs, which lend themselves to view home locations and landscaping.","Impressive view; well-improved streets. For Catholic families, convenient to fine Catholic School. Zoned single-family residential and restricted as to racial characteristics.",Lack of adequate transportation; not convenient to shopping or public schools (district has only Catholic School).,"Professional, business men and executives","3,000 - 7,500",no concentration N/A,no N/A,none,none known,rapidly ,"detached, single-family fine homes",frame or stucco,8 years,very good,"6,500 - 11,000 9,000 55 - 85 77 1933-34 4,500 - 7,500 6,000 55.50% 40 - 50 45 54+% 1937 6,000 - 9,500 7,650 85% 45 - 65 55 79% 1927 102% 1927 100+%",25%,98%,90%,good,"modern 6-rm home, 7,500",good,little,"6-rm home, 55",slow,"6-rm homes, 7,650",91 in 1936,ample,ample,upward,"(7) Population increasing due to home destruction activity, caused by large amount of speculative building. Rental values are low in proportion to sales values. There have been many Veteran's Welfare Board purchases and long term F.H.A. financing; in both cases, amortization payments are less than rent. (10-c) Rental activity is slow, as most homes are owner-occupied. This area is known as Highland Manor and Piedmont Estates; with better transportation and school facilities, might be accorded (A) Green classification. The undeveloped area to the northwest, which is hashed Blue, may also develop into a Green area.","Records of Building Inspector's Office; Thomas F. Watson, City of Oakland, California; Ralph E. Prentice. 6/15 7"
