city,holc_id,name,holc_grade,area_description
San Diego,A11,Kennsington Heights,A,"This area known as Kensington Heights, Units No. I, II, III. Gentle canyons, mesa lands adapted to high class landscaping, almost indential with A-12, with the exception that the area is further from transportation and property not quite so desirable as that in A-12; also, this area is in a Road Improvement District, bonded area, which has retarded development for the past few years. No. I and II are , for the most part, one-story Spanish stucco bungalows of six and eight rooms, architecturally uniform on the level or mesa portion, and on the canyons or rims, the homes are predominantly two-story stucco. These two areas are probably 70% developed. No. III was subdivided with the idea of larger homes and estates, and the improvements in this area at this time are predominantly large two-story Spanish stucco homes. This area is approximately 15% developed. All rim lots have beautiful views and canyons are highly developed. Homes are well maintained. Residents and income range approximately the same as in A-12. This area has recently been annexed to the City of San Diego."
San Diego,A12,Talmadge Park,A,"Topography, gentle canyons and mesa lands, adapted to high class landscaping. Canyons considered very desirable for homesites. Residents white, with a few of the upper class Spanish families, consisting of Naval Officers, business and professional men and retired people. Income range $3600 up. No ratio of concentration; no threat of infiltration, restricted to the Caucasian race. Type of construction - one and two story Spanish stucco interspersed with some English Colonial. Average age approximately five years. Cost range of construction $4500 to $60,000. Building restrictions by deed, $4000 to $10,000; architecturally controlled. This area is known as Talmadge Park, Nos. I, II and III. No. I being the older section, which however, has an average age not to exceed nine years. No. III at present is one of the hottest buildings pots in the City; there being at the present time approximately thirty-eight new homes building in this area. This area, together with the hatched green area, which is the Northern part of this, has recently been annexed to the City of San Diego. Schools of all types, together with State College, transportation, markets, etc., easily accessible to this area. Street improvements in and paid for. Adequate lighting facilities. No flood or other hazards. Fog condition negligible. District highly regarded generally; large demand for rentals. Approximately 60% developed; 85% owner occupied; 15% rented; no vacancies. "
San Diego,A13,Mattoon District,A,"This is similar to A-12, but not quite so desirable. This area is in Mattoon District, and at this time there is no development whatsoever. If and when Mattoon situation is settled or cleared up, this area will become very active."
San Diego,A14,El Cerrito,A,"This area is known as the El Cerrito area. Topography of the land is generally level with slight slopes and some canyons. Residents are business and professional people and State College teachers, with an income range of $2400 to $8000. Homes, for the most part, are stucco one and two stories, well maintained and pride of ownership shown. They are almost entirely owner occupied with probably 5% rented. Building restrictions $3000 minimum. Average cost of construction $3500 to $10,000. Area fronts on El Cajon Boulevard, the State Highway to the East; along which runs a bus line. New State College contiguous to this area, which has been the reason for its rapid development. Homes for the most part have been constructed during the past two or three years. Approximately 15% developed, with a large amount of development and construction of homes at this time. Development moving North toward State College. All City conveniences in, with under-ground conduits for light wires, etc. No flood or other hazards; fog condition light."
San Diego,B1,La Jolla Shores,B,"This area lies North and East of La Jolla proper and is practically level and only slightly above sea level and is developed approximately 10% with a nice desirable class of homes; it will not classify as well as A-1 due to its lowness and percentage developed. The residents are professional, retired and business men; income range from $2400.00 to $15,000.00 - all white. No threat of any foreign infiltration. Homes well maintained, predominantly two story stucco, cost range from $4000.00 to $20,000.00. Building restrictions deed and ordinance, architectural and racial. 90% home owned; 105 rented. Within this area is the La Jolla Beach Club with its attractive Club House and Apartments. This is a private club owning its own beach. Part of the streets are paved. Flood area - none. Fog condition not serious due to prevailing winds. This area is known as La Jolla Shores. There is therein a seventeen acre tract containing a lagoon which is being developed as a harbor for small boats. In Acquisition & Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,B2,La Jolla Shores,B,"This area is located in the northwesterly portion of La Jolla, lying along the ocean. The topography is level with gentle slopes. It is easily accessible to the business district, playgrounds, schools and beaches of La Jolla. The homes, for the most part, range in age from six to twenty-five years. The homes are predominantly one and two story frame and frame stucco built, with a sprinkling of some apartment houses and apartment hotels and a few other multiple unit rentals. The cost of construction ranges from $5000.00 to $20,000.00. Residents are 100% white, being retired people, business and professional men, with an income range of $3000.00 to $15,000.00 per annum. Building restrictions by ordinance and deed. The apartment houses and other multiple income properties in this area do not detract from the residential desirability. Homes, for the most part, show high pride of ownership. There is no infiltration of inharmonious influences whatever. This is considered one of the most desirable areas of La Jolla. The beaches which are contiguous to this property are well maintained and under excellent supervision. Majority of the lots have a good view of the ocean and small park lying along the west edge. Streets are paved; all city conveniences are installed; adequate lighting facilities. There is no hazard of flood or slides and the fog condition is probably lighter than in other areas along the coast, due to prevailing winds which keep the area fairly clear. Area located in Acquisition & Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,B3,La Jolla,B,"This area located East of the business district of La Jolla. Approximately 95% developed. Homes predominantly one of two story frame and frame stucco construction, ranging in cost from $3000.00 to $7500.00. Population business men, retired residents and skilled workmen, with income range from $1000.00 to $7500.00 per annum. The age of construction is approximately fifteen years. Building restrictions by dominance or deed. Houses are occupied by 90% home-owners and 10% tenants. No infiltration of industrial plants, apartment houses or other multiple units. Close to transportation, schools, markets and other city conveniences. Most of the area has scenic features with a view of parks, ocean, etc. Street improvements are in, consisting of curbs, sidewalks and paving, with adequate lighting facilities. No flood hazard or low areas. Fog condition average. Homes, for the most part, are well maintained; show pride of ownership. The general topography of the land is level and slightly rolling. Streets present an attractive appearance. This is in Acquisition Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District). The probably price of lots in this area range from $1250,00 to $2500.00."
San Diego,B4,La Jolla,B,"Topography of this area is nearly all level. Residents embrace nearly all types of professions and are all white. No threat of any foreign infiltration. Homes are well maintained. Streets attractive and practically all paved. The homes, for the most part, are one and two story frame and frame stucco, with cost range of $3000.00 to $10,000.00. Average age of buildings approximately ten years. It is approximately 75% built up; 80% being home owned; 15% tenant occupied. Within this area there is located the La Jolla High School and La Jolla elementary school. Area is easily accessible to the playgrounds, beaches, tennis courts, golf course and club and other recreational facilities. There is no flood hazard and fog condition is probably lighter than in other areas along the coast due to prevailing winds which keep area fairly clear. Income range of residents from $1500.00 to $10,000.00. This area is extremely difficult to classify. It is in no sense declining but is spotted in regard to income grouping. The upper part may later be threatened by foreign or lower social strata infiltration. Is in Acquisition and Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,B5,NA,B,"Topography level and gently sloping. Residents - business men, retired people, professional men and skilled workmen. Income range from $1500. To $6000. 100% white population. No threat of foreign infiltration. Homes well maintained and attractive. Construction frame and frame stucco, predominantly one and two story, with the larger construction being located near the water front. Homes enjoy and excellent marine view. Approximately 30% developed, with lots ranging from $750 to $1250 with lots along the ocean being much higher. The cost range of construction is $3000 to $7500. Average age of homes eight years. Building restrictions by deed and ordinance. No influx of inharmonious elements. Approximately 90% home owners; 8% tenants and 2% vacant. Close to schools, transportation, markets, etc. Improvement needs now in. No flood area. Fog condition lighter than average along the coastal area due to prevailing winds. Due to lack of restrictions similar to A-4 area, not quite comparable to A-4. Located in Acquisition & Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,B6,Ocean Beach,B,"Topography level. Residents white, no racial concentration. Residents white collar classes, income range from $1500 to $3000 per year, small business men, retired and skilled workmen. Predominantly one story homes, frame and frame stucco, cost range $2000 to $5000. Average age ten years. Approximately 65% developed; 75% owner occupied 25% rented; no vacancies. Restricted to residential only and at present time quite a bit of new building is being constructed. This area should enjoy healthy growth and development for great many years. Favorably regarded generally, property in demand for sale and rental. "
San Diego,B7,East Ocean Beach,B,"This area lies along the top of the hill above Ocean Beach, affording an excellent view of the Pacific Ocean and Mission Bay. At present there is considerable building activity in attractive homes which are predominantly stucco, ranging in cost from $2500 to $7500. It is favorably regarded generally and the residents are all white, with income range from $1500 to $5000. It is approximately 25% developed; being 80% owner occupied; 20% rented. No flood area, occasional fogs which are average for this coast. Average age of buildings size years. "
San Diego,B8,NA,B,This area comparable in all respects to B-7.
San Diego,B9,NA,B,"The topography of this ground is highly sloping to the East. It is populated with professional and business men and some retired people in the white collar classes with range of income from $1800 to probably $7500. The homes, for the most part, show pride of ownership and are fairly well maintained. The average cost of construction in this area probably $3500 to $7500. It is fairly well integrated, 40% developed; 80% owner occupied; 20% rented; no vacancies. The conveniences (stores, schools, etc.) are located from one to two miles from this area. Property enjoys fairly good view and is favorably regarded generally. The building sites are large, climate conditions excellent. All streets completely improved. No flood hazard, fog conditions average. No infiltration of inharmonious influences and area should enjoy steady gowth for many years."
San Diego,B10,La Playa,B,"This is in the La Playa area lying along the East of Rosecrans Boulevard. Street car transportation on this Boulevard. Lots in this area lying along the bay are high class and probably among the most desirable home sites in the whole area, being improved with large two story stucco homes having their own beach and boating facilities at their door. A high salaried class of residents inhabit this strip on the bay. Just back of this, across the street, the houses are smaller in construction is six years. This area across the street from the beach lots is not well integrated and various types of homes are contained therein, occupied by a lower social strata of residents of the fishing industry and other lower salaried people. This tends to pull down the desirability of the beach lots from a residential standpoint, on account of the egress and ingress to subject property. All conveniences within easy access of this area. No flood or other hazards, fog average for this coastal area."
San Diego,B11,Mission Hills,B,"Topography, high, partly level surrounded by canyons. Many of rim lots have fine views. Residents of this area white collar professional, retired business men, range of income from $1500 to $8000 per year. No infiltration of any inharmonious influences. No influx of any foreign element. Homes for most part are well maintained and show pride of ownership. The improvements are on and two story frame and stucco and cost range $3500 to, in some instances, $25,000with average approximately $5500. Generally restricted by ordinance to single family dwellings. There is a grade school in the area but it is not convenient to Junior or Senior High Schools. Street car transportation through center of area. Parking planted to trees. Street paved and adequate lighting facilities. Practically all paving paid for. Average age of improvements probably twelve years. Area approximately 95% developed; 75% owner occupied, 23% rented; 2% vacant. Approximately ten years ago this was considered the best district in the City. At present time it is built up almost solid, except for some rim outlying lots and has reached its peak, giving way to some of the newer districts. Still regarded as very desirable place to live. Rentals high; vacancies nil. No flood or other hazards. Average fog condition. No special assessments. No serious tax situation. "
San Diego,B12,NA,B,"Topography gentle slope to the West. White collar residents, professional and business men, income range $1800 to $3600. No racial concentration and no threat of foreign infiltration. Homes well maintained and show pride of ownership. Type of construction one and two story frame and frame stucco.Approximately 85% developed. Cost range of construction $2000 to $4000. Average age ten years. Mostly restricted to single family residences. Grace schools three quarters of a mile, High School two and one-half miles. Few streets paved. No flood or other hazards. Fog condition average. No special assessments. No tax situation adversely affects this area. Homes are for the most part rather slow selling, due to the type of lots, but area as a whole fairly well regarded from home standpoint. In this area there is a small district with homes ranging from $4000 to $25,000. Mostly two story. Average age twelve years. No restrictions. The range of income of the professional, retired and business men, runs from $3000 to $15,000 per year. This area is highly regarded but as a whole is spotted, running from small homes with low salaried white collar residents to large pretentious homes and estates occupied by residents of the higher professional and business classes with large incomes. "
San Diego,B13,Coronado,B,"Topography practically level, high point forty-two feet above sea level. This area is populated with a class of residents practically all white, of the lower salaried white collar classes, semi-professional men, small business men, skilled workmen, naval officers, etc., with income range from $2000 to $6000. per year. The homes for the most part are one story frame and frame stucco, with a sprinkling of two story residences, apartment houses, multiple unit income, etc., which do not detract from the residential features of the area. The probably cost of construction will range from $1800 to $5000. In this area is located the park, library, business center, schools and all other city conveniences. Along Orange Avenue the electric railway runs from the ferry to the far famed Coronado Hotel which is located in the extreme southwest portion of the area. Approximately 80% developed with probably 70% owner occupied; 25% tenant occupied and 5% vacant. There are no flood or other hazards, fog condition average for Southern California coastal area. There are no special assessments and the city taxes are $1.24 per $100 valuation. This area is very desirable and also in active demand by Naval Officers on North Island, which is just one mile across Spanish Bight and is connected to North Island by bridge. The rentals in the area are high and a good return is realized from investment in these properties. "
San Diego,B14,NA,B,"Topography generally level, bounded by canyons. Residents white collar classes, business men, clerks, etc. Income range $2500 to $6000. No racial concentration. No threat of foreign infiltration. Homes show pride of ownership. Construction type; frame and stucco bungalows. Average are approximately ten years. Restricted to residences by ordinance. Cost range $3500 to $7500. Accessible to transportation, city conveniences, recreational facilities. Pavin in and paid for. Lighting adequate. This area lies on the south rim of Mission Valley about one mile north of A-9. 75% built up - a very few houses built at a cost of $5000 to $10,000. Lots selling for $1250 to $2500. No floor or other hazards; fog condition average. "
San Diego,B15,NA,B,Similar in topography and comparable in every respect to B-14. This area lies adjacent to A-9 and highly desirable from a residential standpoint. 
San Diego,B16,NA,B,"This area comparable to B-20 in all respects excepting that the western part of this area has a larger portion of two-story homes than the balance of the area, and is a shade higher in grade. "
San Diego,B17,North Park,B,"This area compares in all respects and is almost identical to B-18. In the Eastern portion of this area was developed approximately five years later than the Western portion. The average cost of construction in this area is approximately $4000. There is a good class of residents in this area and there is no threat of foreign infiltration, and no racial concentration. The topography is level and favorably regarded locally, and at the present time there is considerable development here."
San Diego,B18,South Park,B,"This area comparable in almost all respects; residents, buildings, conveniencies, etc., wtih B-19"
San Diego,B19,South Park,B,"Topography generally level. Residents professional and retired business men. Income range from $2000 to $6000. - no racial concentration and no threat of foreign infiltration. Homes generally well maintained with an average age of from ten to twenty years. Approximately 90% developed; 75% owner occupied; 23% tenants; 2% vacant. Easily accessible to schools, transportation, markets, etc. Type of construction is one and two story frame and frame stucco, with a cost range from $2500 to $8000. Portion of the area restricted as to building. No flood or other hazards and only light fog conditions. No special assessments. This area is generally known as South Park and mostly developed around 1920 in the Southern portion, with the Northern portion developed since that time. Close to the down-town business area and still desirable from a residential standpoint. "
San Diego,B20,NA,B,"This is an area similar in some respects to B-21. Topography is mesa and canyons. Canyon lots are developed with a better type of improvement than mesa lots. Residents are clerks, mechanics, small business men, with an income range from $1500 to $2500. Homes fairly well maintained and show fair pride of ownership. Average age of improvements approximately fifteen years, with a cost range from $1500 to $5000; predominantly one story frame and stucco. No building restrictions except by ordinance. Percentage of Mexicans in this area larger than in B-21; no racial concentration, however. Area approximately 65% developed; 60% owner occupied; 40% tenant; no vacancies. In classification in all other respects, together with conveniences, etc., comparable to B-21, but would have somewhat lower rating than B-21, probably should be classified as ""Low Blue""."
San Diego,B21,Kensington Park and Kensington Annex,B,"This area is known as Kensington Park and Kensington Annex. This is an older area than either A-11 or A-12. Topography, level with one shallow canyon in the area. Residents for the most part are retired, professional and business men, etc., with an income range from $2500 to $5000; no racial concentration. Area practically 100% white, with a few Spanish families of high social strata in the area. Homes for the most part are well maintained. Type of construction predominantly one story frame and stucco bungalows, with some two story homes in the area. Average age of buildings approximately fifteen years, with a cost range of $2500 to $6500. Building restrictions by deed. Present 95% developed, 85% owner; 15% tenant; no vacancies. All schools, from kindergarten through Senior High School, in easy access of area, with State College approximately two and one-half miles East of area. Transportation facilities, small park, public library, makers and other conveniences in the area. Street improvements are in and mostly paid for. There is a small remaining road improvement district bond on the property, however, the remaining balance is so small that it is not a detriment to the area. No flood or other hazards; fog condition is very light. This area is in the City of San Diego and is a very popular district; property always in demand in this area."
San Diego,B22,"Redland Gardens, Montecello, Montemar-Vista",B,"The topography of land; gentle slope to the West. Eastern portion of area is known as Redland Gardens. White collar classes; business men and professional people. Income range $2000 to $6000. Average age of construction approximately eight years, with a cost range of from $3000 to $6000. Homes well maintained, approximately 50% developed; 80% owner occupied; 20% tenant. Majority of lots in area have frontage of seventy-five feet. Architectural conformity not as good as in A-14, however, a desirable area. The Western portion is known as Montecello. It conforms in topography to the Eastern portion, but is populated with people of a lower income range, probably averaging around $1500. Some homes, many of cheap construction. Probably average cost of construction in this Western area $2500. No building restrictions. It is a desirable area for the small home owner, and there is activity at this time in construction, and can be designated as a low blue, as against a high blue of the Eastern portion. At the Southeastern point of the Eastern portion of B-22 is a small tract known as Montemar-Vista. It is a small area of two blocks. Land sloping from North to South. The average cost of construction is approximately $3500. Most of the homes having been recently constructed. It would probably take the same rating as A-14, were it not for the fact that it is South of El Cajon Boulevard, which as a rule has a lower type of development than the property North of El Cajon; and also because of heavy paving bonds which have retarded sales. This area is improved approximately 25%."
San Diego,B23,NA,B,"Topography level with gentle canyons in the East. Residents white collar classes, clerks, skilled mechanics and small business men. Income range $1500 to $2500. Homes for the most part well maintained and show pride of ownership. Typical improvements for the area one story Spanish Stucco, five to six room bungalows, probable average construction cost $3500. Paving all in. No adverse tax situation in the area. Well integrated and property desirable and were it not for the surrounding areas property would be classified as an ""A"" area. Approximately 50% developed; 95% owner occupied; 5% tenant occupied; no vacancies. There has been a great deal of building activity in the area during the past eighteen months. No flood or other hazards. Very little fog."
San Diego,C1,La Jolla,C,"This is one of the oldest sections in La Jolla, and is comparatively level, lying some twenty or thirty feet above sea level. It borders the business district and a ""colored"" areas, (D-1) on the north and northeast, while on the east and southeast it is adjacent to the La Jolla Country Club. It might be termed the tradesmen section, as many of the local merchants and their clerks live in this area. It is extremely spotted, some of the houses of very ordinary frame construction, while others are well-built and of good design, For two or three blocks near the Country Club the houses are of good type and are well maintained, showing a high degree of pride of ownership. The cost range is from $1000 to $7500. The homes are largely one-story frame cottages and frame-stucco, and range in age up to fifteen years. There is no racial concentration and it is conveniently located as to schools. Streets are all paved and lighted and it is close to transportation, markets and other city conveniences. From some parts of the area there is a good view of the ocean. This is in Acquisition Improvement District No. 1, City of San Diego, Causeway (Mattoon Bond District)."
San Diego,C2,Pacific Beach,C,"Topography is level, slope toward foothills on the east and north. Residents - business men, skilled laborers and few retired people. There is a slight infiltration of Mexicans, balance of population white. There is no threat of any excessive infiltration of Mexican element. Homes show fair pride of ownership. Cost range of construction from $1000 to $5000, predominantly one-story frame and frame stucco, with few two-story houses. In this area is located the San Diego Army & Navy Academy, and elementary schools. The area is known as Pacific Beach and while it enjoys good soil and climatic conditions and fairly desirable marine view, it has been in a more or less static condition for years and has never been highly regarded as a residential area by local residents of San Diego. Transportation facilities only fair. Recreational and other conveniences are in the area, but in some cases more or less isolated, There is no uniformity of architectural design or size of construction and it is approximately 25% developed, 65% home-owned, 25% rented and 10% vacant. Area is in Acquisition & Improvement District No. 1 City of San Diego, Causeway, (Manttoon Bond District). "
San Diego,C3,Mission Beach,C,"This area is known as Mission Beach. It is a strip of sand lots, 2 1/2 miles of peninsula, running north and south between Pacific Ocean, with beach the entire length and Mission Bay State park on the east. This area has average approximate width of four blocks. It is a typical Southern California beach community with no uniformity of buildings or restrictions. Construction costs range from $1000 to an extreme in a few instances of $15,000. Lots are small and houses are crowded. Rents during the summer are high and fairly low during winter months. Percentage of owner-occupied is probably 40%. It is probably 80% developed. The San Diego Electric Railway runs through the center of this area, along Mission Boulevard. Along this boulevard there are houses and business buildings of all descriptions. At the south end of the area the homes and business buildings of all descriptions. At the south end of the area the homes are more uniform and of better quality than the balance of the area. Just north of this part is the amusement center, which was constructed at a cost of approximately $3,500,000. The area is restricted to the Caucasian race. The present price of lots ranges from $350 to $2000. The winter population during the past year averaged 2500; summer 5000 and more. Various clubs, community club house for women, Parent Teach Ass'ns, Etc. are located in the area. As a recreational center and bathing beach it is considered excellent by local residents. However, it is not so highly desirable from a home standpoint. All paving and sewer assessments are paid for and there remains a two-year balance on sea-well assessments, which averages approximately $12.50 per lot per year. Residents consist of all classes of lower salaried white-collar workers, some business and professional men. Probable range of income of residents from $1000 to $1800 per year, with a few in higher brackets."
San Diego,C4,Ocean Beach,C,"This area comprises the main part of Ocean Beach and part of its western section borders the Pacific Ocean and it rises to considerable height in its eastern part. The area is transverses by several canyons. Residents largely of the laboring class with a sprinking of business men and white-collar workers. The income range is from $1000 to $3000. Cost of construction runs from $1000 to $5000 and the houses are largely one and two-story frame and stucco. In some parts of the area buildings are restricted by ordinances. Average development approximately 35%, being 85% in that portion adjacent to the business section, with very little habitation in the southwest and central portions. Many of the Streets are paved and lighted, with little or no improvements ub tge sparsely settled sections. There is a beautiful view of the sea from many points in this area. There is no tax problem. Schools and other conveniences are within or close to the populous sections."
San Diego,C5,Point Loma,C,"This area adjoins A-5 on the north and west and in topography, etc. Is comparable to A-5. It is only about 5% developed and is in a static condition at this time with no prospect of any rapid development in the near future. The homes in the district are of a fairly desirable character being two-story stucco."
San Diego,C6,Point Loma,C,"Hillside slopes. Lots command nice view of San Diego Bay. Area is an attractive subdivision. Homes for the most part stucco, one and two-story. Average cost range of construction approximately $2500 to $4000. Area is sparsely settled and only fairly attractive from the home standpoint at this time. Average age of buildings - 10 years. Part of the residents are Portuguese fishermen. Interspersed in this area are some small houses of a cheap construction class which lower the desirability of the area from the home-standpoint. Property generally well maintained, showing reasonable pride of ownership. Approximately 60% owner-occupied, 40% rented. Streets for the most part, paved. No flood hazard, average fog condition of Southern California coast."
San Diego,C7,Point Loma,C,This area is comparable in every respect to C-6.
San Diego,C8,NA,C,"Topography generally level, but cut with two or three large canyons north and west, steep on rim. White-collar classes, business men and high salaried clerical, income range from $1200 to $5000. Probably average about $2500. No racial concentration. A slight threat of foreign infiltration. Homes generally well maintained and show fair pride of ownership. Typical homes are frame bungalows, with some older two-story homes and some stucco. Cost range $2500 to $7500. Generally restricted by ordinance to residential houses, except on business streets. Some encroachment of business and apartment houses, on these thoroughfares, Grade and Junior High Schools in the area, good transportation facilities. This area lies north and northwest of Balboa Park. Most streets paved and paid for, adequate lighting facilities. This area is known as the Hillcrest and western University Heights area. It is one of the best of the older districts but definitely decling. It is good close-in property in the path of the growth of the city. As a residential area it is being replaced by new and more highly restricted districts. No flood or other hazards. Fog condition average. Most of this area might be classed as ""high yellow"". "
San Diego,C9,NA,C,"Topography level and sloping, some canyons. Residents white-collar classes, professional, retired and business men, with income range from $1000 to probably $6000. No immediate threat of foreign infiltration. Pride of ownership in this area as well as maintenance of homes is spotted. The average type of construction is two-story frame, older style. Average age is 20 to 25 years. Area has various zones with practically no building restrictions. Portion of this area is desirable while other portions less desirable. Area as a whole is spotted. There is a scattering of shops, apartments in the area and a definite trend toward multiple dwellings. High school and grade schools approximately one mile. Good transportation facilities within the area. Balboa Park adjoins on the east. No flood or other hazards. This area was one of the first residential districts in San Diego. Within 10 or 15 years after commencement of the district, the hill section was one of the high-class districts in the city. Due to lack of restrictions and ordinances, cheaper improvements and infiltration of apartments, rooming houses, etc. lowered the class of the property. Some of the best apartment houses in the city in the area but there are many of the medium or lower grade. The district definitely decling from a residential standpoint. "
