city,holc_id,name,holc_grade,area_description
San Francisco,A11,NA,A,"This area, with the exception of the two blocks in the northeast, is known as Sherwood Forest, a sub-division placed on the market in 1929 as a high-class residential park with a minimum building restriction of $10,000. The average size of the building sites is from 75 to 100 feet frontage. Up to 1935 only two residences were constructed in this tract, and during the past year four additional homes were erected at a cost of from $15,000 to $25,000. This area is creating considerable interest at the present time, and as the restrictions are rigidly maintained, it is believed that development will continue at a moderate rate. The property is located on the western and northern slope of Mt. Davidson, which is the highest point in San Francisco, having an elevation of 985 feet. The character of the sub-division is hilly with one or two ravines. A portion of the tract is unplanted and adjoins a 20 acre city park which includes the peak of Mt. Davidson. Residents of this tract are professional men and business executives having incomes in excess of $10,000 per year. The sub-division is somewhat remote from transportation, schools, and stores; however, with its type of inhabitants, this is not considered a serious handicap due to the fact that there are two or more automobiles in each family, with domestic help. This property, adjoining a city park, nestles on the wooded slopes of Mt. Davidson, and having an unobstructed view of the Pacific Ocean for a distance of 50 miles, forms a picturesque setting for high-class development. A deterring incidence affecting this area is the season of intermittent fogs and winds which is recurrent for three or four months of the year in this section. When this sub-division was placed on the market, the sites were priced from $4,000 to $15,000, according to their size and location. However, no sales were made at these values, and the maximum price obtained to date is $45 per front foot. It is believed that, with the return of normal conditions and a better planned and more aggressive-selling campaign, it will be possible to obtain as much as $7500 for some of the choice sites. Taxes are assessed on a basis of $60 per front foot on the platted portion of the area and at $300 per acre on the unplanted part. The area is 100% owner-occupied, and there are no detrimental influences other than those indicated. The two blocks lying to the northeast are in the sub-division known as Miraloma Park, which is 85% built-up of homes ranging from $4,000 to $6,000. As these two blocs adjoin Sherwood Forest, they maintain a fairly high standard of occupancy of professional men and junior executives."
San Francisco,A12,NA,A,"This area, consisting of some 20 blocks of various sizes and shapes, is 95% developed, the greater portion is situated in what is known as Balboa Terrace, Tract 1 and 2, with a small portion of the best part of MT. Davidson Manor being included in the eastern part of the area. The first construction in Balboa Terrace began in 1921, and a consistent construction program continued until 1929. This tract is located on a general slope to the west and south and is admirably suited to residential construction. It is particularly appealing to people with families, as it adjoins one of the best elementary and junior high schools in San Francisco, is adjacent to two direct car lines, and has adequate shopping and recreational facilities close at hand. This is one of the few subdivisions in the city that has rear alleys for automobile driveways, eliminating the garage entrance from the street which is very common in San Francisco. The type of homes is mostly one-story, stucco, detached with five to eight rooms, having a cost range of from $5,000 to $12,500. The property is protected by deed restrictions, and zoning is first-residential. There is an upkeep tax of approximately $1.00 per month, and the parking is well-maintained. The district is 95% owner-occupied by people of the high salaried ""white-collar"" class, business executives, and professional men. Property in this area is in popular demand, and its marketability has been above average throughout the depression. That portion of Mt. Davidson Manor which is included in this area is slightly below the standard of the homes in Balboa Terrace; however, the general character is the same. A standard six-room house, with two baths, in this area would have sold for $12,000 in 1929, $7500 in 1933, and is currently selling for $10,500. The same home would have rented for $100 a month in 1929, $65 a month in 1933 and $90 a month now. This area occupies an attractive setting, is harmonious in both development and population. A possible deterring influence which was considered when according the area an ""A"" rating was its high percentage of development. An off-setting factor was that property in the area is in good demand, selling readily at fair prices, and that mortgage institutions generally are willing to accord their best terms on residential loans in the area."
San Francisco,A13,NA,A,"This area of some 25 irregularly-shaped blocks comprises the subdivision which is known as Monterey Heights and the western portion of Westwood Highlands. This area is located on a rolling knoll and slopes in all four directions, affording an excellent view from many of the sites. The subdivision was placed on the market in 1925 and is about 65% developed. it is an extremely popular section at the present time, and some 50 new homes were erected within its confines during the past year. There are a few steep slopes, but usually the building sites are fairly level, and practically all afford a view. The platting of the area was an admirable piece of engineering. The homes have a cost range of from $6,000 to $25,000 in Monterey Heights and from $5,000 to $12,500 in Westwood Highlands. There area a few more costly houses on some imposing knolls; however, the $8,000 house predominates. The majority of the houses have canvas walls, tile baths, with the latest modern features, most of them of the two-story variety with from six to nine rooms. The area is properly restricted by deed and zoning, and it is 90% owner-occupied, largely by professional people and business executives having incomes of from $4,000 to $10,000. This area is served by bus transportation, and is only fairly convenient to good schools and shopping districts. Marketability was slow just prior to and during the depression. However, it is increasing rapidly and becoming a popular district. With the normal growth that is now existing, it is estimated that this area will be 90% developed within the next two years. The only detrimental influence, other than those indicated, is the seasonal fogs and wind from the ocean, which applies to the entire area comprising the western part of San Francisco. Many F. H. A Title II loans are being made in this area, and competition among mortgagee institutions for them is very keen. This factor is believed to be a potent one in stimulating development in the area. In addition to this, the area has an attractive setting, is being harmoniously developed, and is in the path of normal growth. A standard six-room house, with two baths, in this area would have sold for $12,500 in 1929, $7500 in 1933, and is currently selling for $11,000. The same home would have rented for $100 a month in 1929, $65 a month in 1933, and $85 a month now. "
San Francisco,B1,NA,B,"This area of 85 blocks was originally sand dunes and retains this same rolling topography. It constitutes the western portion of the ""Richmond District"", and is zoned second-residential, with the exception of one block and five half-blocks, zoned first residential, and 37 quarter-blocks on Balboa and Cabrillo Streets zoned for business. A well developed shopping center occupies this zoning. There are no deed restrictions. The area is popular with the medium income group of professional and business me, ""white collar"" workers, and higher-class skilled mechanics and artisans. Annual incomes range from $1800 to $5,000. There is no threat of undesirable racial influences. The eastern part of the area is 90% built-up, tapering off to 50% in the extreme western portion, being 75% to 80% developed as a whole. Improvements consist of stucco, frame and stucco, row and detached houses and bungalows, costing from $4,000 to $7,000, with a number of two-family flats and small corner apartment houses in the $7,000 to $12,000 cost range. While somewhat heterogeneously developed in spots, maintenance is generally good, indicating a pride of ownership. A few buildings were erected some 30 years ago, but a majority of the property has been improved since 1920. On the northwest boundary of the area, below a bluff, lies the far-framed ""cliff House"" and ""Seal Rocks""; on the south it joins Golden Gate Park, while to the north is the Lincoln Park Municipal Gold Links. These all add to the attractiveness of the district. Good schools, and churches are conveniently located, and the area, which is densely populated, is served by four car lines to the City Center, which is four or 4 1/2 miles distant. This distance from the down-town district and the time consumed in getting there, is a deterring influence, as is the fog and wind condition which prevails at certain seasons of the year. Although rising land values tend to increase the burden of ownership, the tax situation as a whole is equitable. The classification of this area as ""blue"" does not complete the picture. There are spotted blocks here and there which could be designated ""high yellow"", and on the other hand, there area scattered blocks fronting Golden Gate Park which could be classed as ""low green"". There are also 12 blocks in the northwest section of the area adjoining Sutro Heights and the military reservation, which are hilly and afford a pleasing view of the Pacific Oceas and Golden Gate Park, that are less than 50% improved and give evidence of developing into a higher grade, possibly a ""high blue"" or ""low green"". At present the same general characteristics justify the inclusion of this district in one area, but within ten years it will have to be broken up into a number of separate units. Already parts have reached a peak and are in that static stage which precedes a decline. Marteksbility in the area is generally good, with values tending upward. A standard six-room house in this area would have sold for $8,000 in 1929, $4750 in 1933, and is currently selling for $6750. The same house would have rented for $75 in 1929, $47.50 in 1933, and $65 now."
San Francisco,B2,NA,B,"This small area of six blocks has the same rolling topography as ""B-1"". Half of the area is known as Lincoln Manor, a subdivision placed on the market approximately 30 years ago, is improved with two-story, detached homes, and is zoned first-residential. The balance is zoned second-residential and contains some two-story flat buildings of the newer type. Properties have a value of from $5,000 to $10,000 and are largely owner-occupied by professional and business men of the junior executive type, having incomes ranging from $2,000 to $5,000. The area, which is 95% built-up, is well-maintained and has but few, if any, vacancies. Improvements have an average age of from 12 to 15 years. Excellent school facilities are within easy walking distance, and transportation facilities are good. Immediately to the north of this area is a public golf course which adds to the attractiveness of the district. Properties in this area enjoy ready saleability. A rating of ""high blue"" is justified. A standard six-room house in this area would have sold for $8500 in 1929, $5750 in 1933, and is currently selling for $7750. The same home would have rented for $80 a month in 1929, $50 a month in 1933, and $67.50 a month now. "
San Francisco,B3,NA,B,"This area of 10 blocks is 90% built-up with mixed single and multiple family bungalows, houses, and flats, ranging in age from five to 20 years and in value from $3500 to $9,000. It is zoned second-residential, provision being made, however, for a certain amount of business along Clement Street. The residences are some 70% owner-occupied, and the population consists of skilled artisans and mechanics and the ""white collar"" workers, having an income of from $1800 to $3,000 a year. There is not to exceed three percent vacancy in the area. There is no threat of racial concentration. Maintenance is spotted but is generally good throughout the district. Just outside the area is Lincoln Park the city maintains one of its car barns. This does not add to the attractiveness of the district. This, together with the seasonal fog and wind condition, probably makes for the low degree of saleability which obtains in this area. The area is a ""low blue"" with an upward tendency. A standard six-room house in this area would have sold for $7,000 in 1929, $4750 in 1933, and is currently selling for $6,000. The same home would have rented for $67,50 in 1929, $45,50 in 1933, and $60 now."
San Francisco,B4,NA,B,"This area of 18 blocks is zoned second-residential and is 97% built-up with mixed single and multiple-family houses, bungalows and flats -- a few corners being occupied by apartment houses -- ranging in age from new to 30 years and costing from $3500 to $10,000. This area is 85% owner-occupied with professional and business men and ""white collar"" workers, having incomes of from $2,000 to $6,000. There are few, if any, existing vacancies. That part of the area which borders on Lake Street is of distinctly higher grade than the rest of the area, the houses being of a higher type and showing a high character of maintenance, although the area as whole is well-maintained. The area is conveniently located for school facilities, transportation is good, and recreational areas are nearby. A standard six-room house in this area would have sold for $7500 in 1929, and $5500 in 1933, and is currently selling for $6500. The same home would have rented for $70 in 1929, $47.50 in 1933, and $62.50 now. "
San Francisco,B5,NA,B,"This area of 60 blocks is zoned second-residential with the exception of quarter-blocks facing Geary and Balboa, which area zoned for business. The district is 90% built-up and from 80% to 85% owner-occupied, with not to exceed 2% vacancies. The terrain is undulating and is well adapted to residential construction. It is largely occupied by business men of the junior executive type, highly-skilled laborers, and ""white collar"" workers, having an income range of from $2,000 to $5,000. There are no adverse racial concentrations in the area. The dwellings are largely of frame and stucco construction, consisting of single and multiple-family dwellings, flats, and some small apartment houses. The single-family dwellings have a cost range of from $4500 to $7,000, with some multiple-family dwellings running up as high as $12,000. The district is from 18 to 20 years old and is still developing. The average age of dwellings in this area probably would not exceed 10 or 12 years, it is amply provided with school facilities, has good transportation, and borders Golden Gate Park. Properties are, in general, well-maintained, and while the types of construction are somewhat heterogeneous, there is a good, stable demand for property in this area. A standard six-room house in this area would have sold for $7500 in 1929, $5500 in 1933, and is currently selling for $6500. The same home would have rented for $70 in 1929, $47.50 in 1933, and $62.50 now. "
San Francisco,B6,NA,B,"This area consists of some 16 blocks facing on Funston Boulevard, a part-thoroughfare which runs from the Presidio to Golden Gate Park. It is level and is 95% developed with frame, stucco, and brick single-family residences, having a cost range of from $8,000 to $20,000 and ranging in age from 5 to 20 years. The inhabitants consist of professional and business men of the executive type with incomes ranging from $4,000 to $15,000. It is zoned second-residential but is 95% owner-occupied, which protects it from the infiltration of lower-class properties. The type of development is far above that of surrounding areas and justifies the ""high blue"" rating which is given it. The area is near schools of all grades, has good transportation facilities, and its proximity to the Golden Gate Park adds to its desirability. The area is exceedingly stable, and there are very few transfers of property, although there is no sales resistance. A standard six-room house in this area would have sold for $8500 in 1929, $6500 in 1933, and is currently selling for $7500. The same home would have rented for $80 in 1929, $60 in 1933, and $72.50 now."
San Francisco,B7,NA,B,"This area, consisting of nine blocks, is 100% developed, and is zoned second-residential, improvements consisting largely of single-family frame and stucco, row and detached dwellings, with a few four-family flats. The cost range of the dwellings is from $4500 to $8500 and the average age from 10 to 15 years, a few being as much as 30 years old. The topography is very favorable for residential construction. The district is occupied by professional and business men and ""white collar"" workers, having incomes of from $2500 to $5,000. The area is a homogeneous one, and maintenance shows a high degree of pride of ownership. There are no vacancies in the area, and it is very largely owner-occupied. School and transportation facilities are conveniently available, and adjacent parks and recreational centers add to the desirability of the area and are a factor in the steady demand at fair price levels for property located in this district. A standard six-room house in this area would have sold for $8,000 in 1929, $6,000 in 1933, and is currently selling for $7250. The same home would have rented for $75 in 1929, $55 in 1933, and $67.50 now."
San Francisco,B8,NA,B,"This area, consisting of 11 blocks bordering Golden Gate Park, is 100% built-up, the improvements consisting of single-family detached and row houses of frame, stucco, and brick construction, having a cost range of from $4,000 to $10,000 and being from 8 to 30 years of age. There are also a few flats and apartments in the area which is zoned second-residential. The district is largely occupied by professional and business men with an income range of $2,000 to $6,000. There are no racial concentrations, and the possibility of there being any is remote, as the area is very largely owner-occupied, and a high degree of pride of ownership exists. There are apparently no vacancies here. While Area ""C-2"", which joins it on the north, is undoubtedly a deterring influence, this is more than offset apparently by the beneficial influence of Golden Gate Park and the convenience of its location, being near schools, churches, and transportation facilities. These probably account for the high degree of marketability of property in this area. A standard six-room house in this area would have sold for $7500 in 1929, $5500 in 1933, and is currently selling for $6500. The same home would have rented for $70 in 1929, $42.50 in 1933, and $62.50 now."
San Francisco,B9,NA,B,"This narrow area, seven blocks in length, is situated on the southerly slope of ridge or plateau occupied by ""A-3"", which strongly influences the character of its northern part. There are many steep grades and sharp declines on the cross streets. As would naturally be expected in a ""buffer"" area such as this is, the improvements are decidedly mixed, and there is a decided contrast between the types of occupants as well. Incomes range from $2,000 to $8,000 and more, and property values, from $5,000 to $25,000. The improvements run from substantial, single-family, detached residences to much cheaper homes, with some flats and apartment houses where zoning permits. A small portion of this area is zoned first-residential and the remainder second-residential, with fractional blocks along Sacramento Street zoned for business. This district is 100% built up with 90% owner-occupancy and less than 2% vacancy, The area is well regarded, and indications are that its stability will be maintained for many years to come. There is little danger of undesirable racial encroachments. Due to the mixed type of improvements, it is not feasible to give the price range for a standard six-room home."
San Francisco,B10,NA,B,"This area known as Francisco Heights, consisting of some 10 level blocks, is largely composed of what was the old Odd-Fellows' Cemetery and is a redeemed area which was taken over and developed within the past several years. It carries deed restrictions limiting construction to one and two-story, detached dwellings and flats, provision, however, having been made for apartment house constructions certain strategic corners. It is at present 50% built-up and is largely owner-occupied by professional and business men with incomes ranging from $3,000 to $6,000. The improvements consist of frame and stucco bungalows and two-family flats, costing from $7500 to $12,000, all practically new. It is favorably located as to schools transportation facilities, and recreational areas and enjoys a high degree of saleability. A standard six-room house in this area is currently selling for $9500. The same home could be rented for $85. Owing to is recent development, no comparative values can be given."
San Francisco,B11,NA,B,"This area known as University Terrace, consisting of seven blocks, was formerly occupied by a Masonic cemetery which was recently taken over and subdivided. It occupies the southerly slope of what is known as ""Lone Hill"" and has an elevation running from 200 to 300 feet. Lots are usually 25 x 100 feet and are currently selling quite readily at $2250 to $3,000. The restrictions are favorable, although provision has been made for apartment house sites on Turk Street. The area is most favorably situated as regards schools and transportation and recreational facilities. A number of single-family, detached homes area already in the course of construction, and it is judged that the improvement in this district, while similar to that in ""B-10"", will be of slightly higher grade. "
