city,holc_id,name,holc_grade,area_description
Fresno,C8,NA,C,"This is an area which was sub-divided 20 years ago with low-priced lots for low-priced houses. It is now occupied by workers employed in the fruit packing houses, laborers, and a very few “white-collar” workers, whose incomes range from $600 to $1,200. Population is almost entirely American whites. The neighborhood as a whole is not uniform, and prude of ownership is from fair to poor. The houses are on average 12 years old, range in cost from, $600 to $2500, and are virtually all of frame construction. No deed restrictions remain, but it is all zoned for single family residences, with the exception of four blocks in the southwest corner which are zoned industrial. The area is 85% owner-occupied, with no vacancy noted at present. However, there is a normal vacancy of 10% to 15% because the packing houses have a seasonal peak and low point, and the factory workers move in and out. On the west the area pushes up against packing plants and other industries. On the east is undeveloped land."
Fresno,C9,NA,C,"This area includes that “yellow” portion north of “C-8” and surrounding the small “blue” area, “B-5”, the hatched area to the east and the “solid yellow” portion north of Ventura Boulevard and east of the County Hospital. The “solid color” portions are essentially the same; they are occupied by laborers, artisans, and tradesmen whose incomes range from $800 to $1,500 a year, virtually all of whom are American white. These portions are not uniform, as they contain very cheap houses, showing little pride of ownership, and a few substantially built, small houses, presenting a neat appearance. The cost range of these houses is from $2,000 to $4,000. The average age is about 12 years, ranging from new to houses 20 years old, and these is no new building at the present time. Most of the area is outside the city limits and is not protected by any zoning ordinances nor are there deed restrictions. The part surrounding “B-5”, however, is in the city and is zoned for single family residences. The area is largely owner-occupied, and there is practically no vacancy at present. The northwesterly part of the area just above “B-5” is the oldest part but has on it a few very fine homes. These homes are suffering with the general decline of the district. The portion of this area which is hatched is a sub-division which was started several years ago for small home construction but which has stagnated. The homes are scattered and not uniform in appearance. There is no new construction in any part of the area."
Fresno,D1,NA,D,"This area is located on the north side of Fresno but is separated form the best and most popular sections by a main line railroad running northwest. The area is level and is occupied by American whites entirely, most of whom are laborers and artisans, a few being small businessmen. The area is 75% built up, with the exception of a small hatched section in the northeast part of the area. The properties are perhaps 75% owner-occupied and show little pride of ownership. The houses are not uniform in type or cost of construction and range in cost from $1,000 to $3,000. The houses are of frame construction for the most part, the area containing a few stucco houses. There is no new building here at the present time, although there is some sales activity in improved properties. The streets are graded and oiled but not lighted, and there are only a few streets with curbing and sidewalks. Besides the fact that the area is not uniform and is spotted with some very poor structures, there are some small industries alone the railroad on the west, and there is a college athletic field on the southeast. All of these factors tend to make it a hazardous section in which to loan money on residences"
Fresno,D2,NA,D,"This is a section in which American white laborers live whose incomes range from $600 to $1,200. The properties are generally not well-kept, and for the most part the improvements are of very poor construction. Many of the houses are little better than mere shacks the houses range from 10 to 15 years in age, and there has been no new buildings during the last 8 or 10 years. The area is outside of the city limits; consequently, it is not protected by any zoning nor are there deed restrictions. The area is 90% owner-occupied, and there is no vacancy at the present time. The streets are graded and oiled only in part, and they are not lighted. City utilities are in, however. The hatched area to the north has the same characteristics except that the houses are scattered, and some of them are on larger lots. There is a little new building in the hatched part of the area, but it is cheap and appears to be developing into the same thing as the solid “red” part."
Fresno,D3,NA,D,"This area comprises two small sections on either side of “C-6”. The part in solid “red” are occupied by laborers and small wage earners making from $900 to $1500 per year, and the properties, most of which are cheap, reflect little pride of ownership.  In this part are mere shacks and houses costing up to $1,500, ranging in age from 10 to 30 years. This part is pretty well built up and shows no vacancies at the present time, although 5% and 10% vacancy is normal. None of the streets are paved or lighted, and only part of them are graded and oiled. There are a few colored families living in this area, but it appears there is little danger of infiltration of other colored races found in the large “red” area to the south, “D-4”. The small hatched part of this area west of Durant Street has the same kind of owners and the same kind of buildings. It differs only insofar as the buildings are scattered."
Fresno,D4,NA,D,"This large “red” area contains the most mixed population of any part of the City of Fresno. In it are found Japanese, Chinese, negroes, uneducated Italians, and a few representatives of several other races. Most of these people are laborers whose incomes range from about $600 to $1,200. The area has no uniformity in its building, and there is little pride of ownership shown. Buildings range from the cheapest sort of shacks up to fairly substantial five or six-room houses costing from $2,500 to $3,000. There are a few houses built in fairly recent years, but the average age of the property in this neighborhood is about 20 years. There are no deed restrictions to protect the property, and much of the area is zoned for business, particularly that part adjacent to the “white” section which is the main business part of the city. The area is about 60% owner-occupied, and there is about a 2% vacancy in the remaining part at the present time. The population in this area is shifting, and normal vacancy is perhaps as high as 10%. The rents here range from $10 to $30. There are several schools in the area, including a “truant” school. There was little fluctuation in values in this area during the depression, and what little fluctuation there was is hard to define because there were virtually no sales. There has been no appreciation in values here because the generally rising real estate market is outweighed by the rapid depreciation of the properties."
Fresno,D5,NA,D,"The solid “red” part of this area is about 75% built up and is occupied by laborers entirely, whose incomes range from as low as $500 to $1,200 per year. The occupants are a mixture of races—viz, Mexicans, uneducated Germans, Russians, and Italians. This part, as well as the scattered hatched part to the south, lacks uniformity entirely and reflects no pride of ownership.  Some of the houses are mere shacks, and few cost more than $1,500. The average age is 20 to 25 years, and the houses are of cheap, frame construction, or simply “board and bat”, (i.e., structures made by simply laying boards on the ground held together by bats to make the sides. The sides are simply lifted up and tied at the corners without any frame work). There is no new building. The solid “red” part of the area as far as Fig Street is zoned for business. The streets outside of the city limits are not zoned at all. The area is only about 50% owner-occupied, but there is virtually no vacancy in the remaining 50%. The rents, even on the present rising rental market, are as low as $10 to $12 a month. The hatched portion is of the same nature, the houses being scattered."
Fresno,D6,NA,D,"This area, which is entirely surrounded by the business district of Fresno, is about 85% occupied by Armenians, most of whom are uneducated. It is claimed that this is the least desirable type of Armenian, the educated group being found in other parts of the city. These people are engaged as laborers, factory workers, and small tradesmen, with incomes ranging from $600 to $1,800 a year. The remaining 15% of the population in this are American white laborers and factory workers, the houses in this area have an original cost from $2,500 to $7,000, but the average age is as high as 30 years. Most of the houses are of frame construction with a scattering of old brick houses. There are no deed restrictions here, and the whole area is zoned for business. The area is perhaps 75% owner-occupied and shows no vacancy at the present time. Rentals average $20 to $25 a month and have shown little appreciation since the low point of the depression, at which time they averaged perhaps closers to $20 a month. Mixed in with the residential property in this area are small shops and grocery stores. It is definitely a hazardous area for mortgage lending."
Fresno,D7,NA,D,"This small area, while still zoned residential, is hemmed in on three sides by railroad yards, with their attendant industries. While there are a few Armenians in this district, most of the residents are American white laborers and wage earners with small incomes. The houses, which range in cost from $1,500 to $2,500, average in age about 30 years. For the most part, they are of cheap frame construction. A few of the houses on the eastern side of the area are of somewhat better quality and reflect a pride of ownership not generally found in the area. The majority of the properties are tenant-occupied, and there is no vacancy at the present."
Fresno,D8,NA,D,"In this area the houses range in cost from about $500 to $2,500. The building in the area is scattered and on the whole shows little pride of ownership, the houses, on one extreme, being simply shacks and, on the other extreme, some rather neat, small houses, the average age is 10 years, the range being from 5 to 15 years. The houses vary in type of construction from simple “board and bat” shacks to fairly well-built frame bungalows. There are no deed restrictions, and there is no zoning. The area is almost entirely owner-occupied. There was practically no sales activity during the depression, and there is neither sales activity nor new building at the present time. The area is bounded on the north by Ventura Boulevard, main artery east to the mountains, upon which are numerous small businesses. The nearest transportation into town form this area is at the northwest corner, where a street car line ends. The area is provided with gas and electricity but no water, lighting nor improved streets."
