site_id,site_name,site_address,city,zip_code,enf_action_date,enf_action_type,enf_action_description,enf_action_notes,enf_action_division,enf_action_program,enf_action_source
1151,7-ELEVEN INC. STORE #39328,805 E OCEAN BLVD,LONG BEACH,90802,2014-10-15,Referral to Other,Referral to Other,REFERRAL TO FIRE PREVENTION ENVIRONMENTAL INVESTIGATOR.,Long Beach Environmental Heath,UNSPEC,CERS
1198,7-ELEVEN INC #18185,5791 BROADWAY,SACRAMENTO,95820,2014-10-29,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
1198,7-ELEVEN INC #18185,5791 BROADWAY,SACRAMENTO,95820,2015-10-20,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
1198,7-ELEVEN INC #18185,5791 BROADWAY,SACRAMENTO,95820,2018-03-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
1451,7-ELEVEN INC. STORE #19133,1611 W OLIVE AVE,BURBANK,91506,2015-10-13,Referral to County Council or City Attorney,Referral to County Council or City Attorney,Dismissed due to plea negotiation. Proceedings terminated.,Burbank Fire Department,HMRRP,CERS
2257,A+Auto Repair,2700 LINCOLN BLVD STE 10,SANTA MONICA,90405,2015-04-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Monica Fire Department,HMRRP,CERS
2395,A1 AAA SHELL,2090 THE ALAMEDA,SAN JOSE,95126,2015-08-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
2395,A1 AAA SHELL,2090 THE ALAMEDA,SAN JOSE,95126,2015-08-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
2438,"SUNSET SATER, INC.",5007 W SUNSET BLVD,LOS ANGELES,90027,2016-09-29,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,500.00. Raised liquid sensor in 87 STP sump.  Sunset Sater, Inc.",Los Angeles City Fire Department,UST,CERS
2439,AAA GAS INC,4715 N VAN NUYS BLVD,SHERMAN OAKS,91403,2016-02-12,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,Tank  -T4 Waste oil.,Los Angeles City Fire Department,UST,CERS
2439,AAA GAS INC,4715 N VAN NUYS BLVD,SHERMAN OAKS,91403,2016-02-12,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,Tank - T3 Diesel.,Los Angeles City Fire Department,UST,CERS
2439,AAA GAS INC,4715 N VAN NUYS BLVD,SHERMAN OAKS,91403,2016-04-05,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $10,000.00. Tampering: Annular Sensor for Waste Oil UST was removed from the Veeder-Root programming.",Los Angeles City Fire Department,UST,CERS
2669,"Able Metal Plating, Inc.",932 86TH AVE,OAKLAND,94621,2016-10-26,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
2801,ACCUPRINT INC,1465 PARK AV,SAN JOSE,95126,2015-08-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
3088,"SERESTAR COMMUNICATIONS, INC",500 MEDIA PL,SACRAMENTO,95815,2015-05-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
3234,"Advanced Grinding, Inc.",812 49TH AVE,OAKLAND,94601,2017-11-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3278,"Mike and Sons Automotive, Inc.",226 Q ST,SACRAMENTO,95811,2014-09-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
3278,"Mike and Sons Automotive, Inc.",226 Q ST,SACRAMENTO,95811,2018-06-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
3278,"Mike and Sons Automotive, Inc.",226 Q ST,SACRAMENTO,95811,2018-06-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
3624,AIR RESOURCES BRD - MON/LAB DV,1927 13TH ST,SACRAMENTO,95811-7101,2014-04-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
3624,AIR RESOURCES BRD - MON/LAB DV,1927 13TH ST,SACRAMENTO,95811-7101,2014-04-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
3857,ALAMEDA AUTO BODY AND SERVICES,1814 EVERETT ST,ALAMEDA,94501,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3857,ALAMEDA AUTO BODY AND SERVICES,1814 EVERETT ST,ALAMEDA,94501,2017-11-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3858,ALAMEDA AUTO CARE CENTER,2405 EAGLE AVE,ALAMEDA,94501,2015-10-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3858,ALAMEDA AUTO CARE CENTER,2405 EAGLE AVE,ALAMEDA,94501,2016-11-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3862,FIX AUTO ALAMEDA,1925 EVERETT ST,ALAMEDA,94501,2015-10-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3864,Alameda County Public Works Bridge Corporation Yard,3024 E 7TH ST,OAKLAND,94601,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3881,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,2015-10-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3881,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,2016-02-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UNSPEC,CERS
3881,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,2016-06-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3881,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,2016-09-20,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $1,098.00.",Alameda County Environmental Health,HMRRP,CERS
3881,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,2017-12-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3886,ALAMEDA OFFICE CENTER/FOC,1625 THE ALAMEDA,SAN JOSE,95126,2015-08-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
3891,ALAMEDA SHELL,1455 THE ALAMEDA,SAN JOSE,95126,2015-08-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
3892,ALAMEDA USD MAINTENANCE YARD,2615 EAGLE AVE,ALAMEDA,94501,2015-03-24,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3892,ALAMEDA USD MAINTENANCE YARD,2615 EAGLE AVE,ALAMEDA,94501,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3892,ALAMEDA USD MAINTENANCE YARD,2615 EAGLE AVE,ALAMEDA,94501,2017-09-01,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
3892,ALAMEDA USD MAINTENANCE YARD,2615 EAGLE AVE,ALAMEDA,94501,2017-09-01,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HW,CERS
4302,ALL FAB PRECISION SHEETMETAL,1015 TIMOTHY DR,SAN JOSE,95133,2014-07-24,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
4302,ALL FAB PRECISION SHEETMETAL,1015 TIMOTHY DR,SAN JOSE,95133,2014-07-24,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
4316,ALL MARINE,2716 E MINER AVE,STOCKTON,95205,2015-09-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
4316,ALL MARINE,2716 E MINER AVE,STOCKTON,95205,2018-03-22,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
4522,Allied Fire Protection,555 HIGH ST,OAKLAND,94601,2016-02-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
4634,ALPHA AND OMEGA AUTOMOTIVE REPAIR INC,223 SAN JOSE AVE,SAN JOSE,95125,2015-08-25,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
4634,ALPHA AND OMEGA AUTOMOTIVE REPAIR INC,223 SAN JOSE AVE,SAN JOSE,95125,2015-08-25,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
4709,ALSCO INC,705 W GRAPE ST,SAN DIEGO,92101,2015-08-28,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $1,000.00. SEPs Value: $32,000.00.",San Diego County Department of Env Health,HMRRP,CERS
4709,ALSCO INC,705 W GRAPE ST,SAN DIEGO,92101,2015-08-28,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $1,000.00. SEPs Value: $32,000.00.",San Diego County Department of Env Health,HW,CERS
4716,Alta Bates Summit Medical Center - Merritt Pavilion,350 HAWTHORNE AVE,OAKLAND,94609,2016-02-22,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,"Submitted documents were observed in November, however an NOV was still issued for the facility for continued corrective action on the following violations .",Alameda County Environmental Health,HW,CERS
4719,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVE,BERKELEY,94705,2015-03-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,UST,CERS
4719,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVE,BERKELEY,94705,2016-01-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
4719,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVE,BERKELEY,94705,2016-01-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
4803,Alum Rock Union Elementary School District,2930 GAY AV,SAN JOSE,95127,2014-02-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
4803,Alum Rock Union Elementary School District,2930 GAY AV,SAN JOSE,95127,2014-02-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
4803,Alum Rock Union Elementary School District,2930 GAY AV,SAN JOSE,95127,2015-02-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
5642,AMPCO,3300 W BURBANK BLVD,BURBANK,91505,2015-08-12,Referral to County Council or City Attorney,Referral to County Council or City Attorney,Fines/Penalties Assessed: $485.00.,Burbank Fire Department,HMRRP,CERS
6112,Ants Auto Collision Shop,2300 MARKET ST STE C,OAKLAND,94607,2016-09-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
6433,ARANDAS TORTILLA CO,1318 E SCOTTS AVE,STOCKTON,95205,2016-03-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
6569,NAMA ENTERPRISES INC.,8160 W FOOTHILL BLVD,SUNLAND,91040,2016-04-06,Referral to County Council or City Attorney,Referral to County Council or City Attorney,"Fines/Penalties Assessed: $2,500.00. This case was filed against former Owners, Mukhtiar S.& Amandeep S. Kamboj. The Kambojs operated 2 sites: 8160 Foohill Blvd. & 4424 S. Central Ave. These two sites were filed jointly by the Los Angeles City Attorney. Failure to maintain UST system, chronic violator, failure to repair SB-989 failures, late testing, operating without a permit. Red Bags: 1704, 1705 & 1706  affixed to all 3 UST fill pipes on 3/14/2014. Penalty $2500.00, Invest. Costs $1,225.00. 12 months probation.",Los Angeles City Fire Department,UST,CERS
6572,"ARCO - PRAKASH, DOSHI",4103 N VERDUGO RD,LOS ANGELES,90065,2016-07-21,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,000.00. Tampering x 2 raised sensors. Sensor Sleeves to be installed.",Los Angeles City Fire Department,UST,CERS
6611,ARCO 42009,1817 EUCLID AVE,SAN DIEGO,92105,2016-11-14,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $5,000.00.",San Diego County Department of Env Health,UST,CERS
6930,Arrow Sign Company,1051 46TH AVE,OAKLAND,94601,2015-12-22,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
8060,AT&T Mobility - 405/CULVER BLVD. (USID12017),4225 SEPULVEDA BLVD,CULVER CITY,90230,2013-10-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Culver City Fire Department,UNSPEC,CERS
9384,Atlas Heating and Air Conditioning,1451 32ND ST,OAKLAND,94608,2015-08-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
9509,AUTO ALPINA,1499 SAN PABLO AVE,BERKELEY,94702,2014-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
9509,AUTO ALPINA,1499 SAN PABLO AVE,BERKELEY,94702,2014-03-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
9703,AUTO XPERTS,8700 W WASHINGTON BLVD,CULVER CITY,90232,2014-04-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,Business must provide chemical inventory and site map to CERS .,Culver City Fire Department,UNSPEC,CERS
9719,Auto-Chlor System,1350 14TH STREET,OAKLAND,94607,2017-09-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,CA,CERS
9719,Auto-Chlor System,1350 14TH STREET,OAKLAND,94607,2017-09-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HW,CERS
9719,Auto-Chlor System,1350 14TH STREET,OAKLAND,94607,2017-12-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
9719,Auto-Chlor System,1350 14TH STREET,OAKLAND,94607,2020-02-03,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $40,600.00. SEPs Value: $10,450.00.",Alameda County Environmental Health,CA,CERS
9719,Auto-Chlor System,1350 14TH STREET,OAKLAND,94607,2020-02-03,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $40,600.00. SEPs Value: $10,450.00.",Alameda County Environmental Health,HW,CERS
9823,Autonetrix,1101 OLYMPIC BLVD,SANTA MONICA,90404,2015-06-03,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Monica Fire Department,HMRRP,CERS
10112,"AUTUMN PRESS, INC.",945 CAMELIA ST,BERKELEY,94710,2014-01-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
10112,"AUTUMN PRESS, INC.",945 CAMELIA ST,BERKELEY,94710,2014-01-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
10130,AVALON ARCO & SN MART,9600 AVALON BLVD,LOS ANGELES,90003,2016-05-05,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $2,000.00. Tampering and maintaining UST system in defective state.",Los Angeles City Fire Department,UST,CERS
10248,"AVS SPECIALISTS, INC.",2501 TENTH ST,BERKELEY,94710,2016-01-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
10339,FleetPride #711,1164 OLD BAYSHORE HWY,SAN JOSE,95112,2015-01-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
10339,FleetPride #711,1164 OLD BAYSHORE HWY,SAN JOSE,95112,2015-01-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
10418,B & P Marble Products,1044 44TH AVE,OAKLAND,94601,2016-07-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
10418,B & P Marble Products,1044 44TH AVE,OAKLAND,94601,2017-11-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
10858,Sinclair Bancroft,500 BANCROFT AVE,SAN LEANDRO,94577,2015-10-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,HMRRP,CERS
10858,Sinclair Bancroft,500 BANCROFT AVE,SAN LEANDRO,94577,2015-10-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
10858,Sinclair Bancroft,500 BANCROFT AVE,SAN LEANDRO,94577,2016-10-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
10858,Sinclair Bancroft,500 BANCROFT AVE,SAN LEANDRO,94577,2017-10-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
11060,BART San Leandro Substation,1401 SAN LEANDRO BLVD,SAN LEANDRO,94577,2014-12-12,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,HMRRP,CERS
11060,BART San Leandro Substation,1401 SAN LEANDRO BLVD,SAN LEANDRO,94577,2017-12-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,HMRRP,CERS
11185,BAVARIAN PROFESSIONALS INC.,1218 SEVENTH ST,BERKELEY,94710,2013-10-04,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
11273,Bay Motorsport Services,1118 5TH AVE,OAKLAND,94606,2014-10-22,AEO - Local Ordinance,Administrative Enforcement Order Based on Local Ordinance,"Fines/Penalties Assessed: $1,000.00. repeat violator.",Oakland City Fire Department,UNSPEC,CERS
11273,Bay Motorsport Services,1118 5TH AVE,OAKLAND,94606,2015-11-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
11822,MERCEDES SERVICE OF SILICON VALLEY,985 W JULIAN ST,SAN JOSE,95126,2016-05-05,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $1,500.00. An additional $500 was assessed to offset agency costs.",Santa Clara County Environmental Health,UST,CERS
12038,Lakeshore Chevron,3500 LAKESHORE AVE,OAKLAND,94610,2014-07-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UNSPEC,CERS
12038,Lakeshore Chevron,3500 LAKESHORE AVE,OAKLAND,94610,2016-11-09,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,000.00.",Alameda County Environmental Health,UNSPEC,CERS
12038,Lakeshore Chevron,3500 LAKESHORE AVE,OAKLAND,94610,2016-11-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
12038,Lakeshore Chevron,3500 LAKESHORE AVE,OAKLAND,94610,2016-11-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HW,CERS
12038,Lakeshore Chevron,3500 LAKESHORE AVE,OAKLAND,94610,2016-11-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UST,CERS
12045,BEVERLY 76,4700 W BEVERLY BLVD,LOS ANGELES,90004,2017-04-07,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,500.00. Tampering/raised sensor 91 Fill Sump.",Los Angeles City Fire Department,UST,CERS
12240,Big Lots San Jose 4557,1523 PARKMOOR AVE,SAN JOSE,95128,2015-10-30,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
12290,BIG O TIRES #5289,5701 FOLSOM BLVD,SACRAMENTO,95819,2014-12-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
12290,BIG O TIRES #5289,5701 FOLSOM BLVD,SACRAMENTO,95819,2014-12-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
12290,BIG O TIRES #5289,5701 FOLSOM BLVD,SACRAMENTO,95819,2017-12-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
12290,BIG O TIRES #5289,5701 FOLSOM BLVD,SACRAMENTO,95819,2017-12-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
12371,"BILL T. CAVALLI, DDS",2522 DANA ST STE 207,BERKELEY,94704,2018-11-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
12414,BIMBO BAKERIES USA INC,480 S VAIL AVE,MONTEBELLO,90640,2010-06-23,Staff Enforcement Letter,Staff Enforcement Letter,"The letter, AR Review - Benchmark Exceedance, was sent to ensure that the permittee will develop and implement the BMPs to reduce or prevent pollutants in SW discharges.  Letter also required permittee to submit evidence of implemented additional BMPs and SWPPP amendments if the permittee is already implementing the BMPs.",Water Boards,INDSTW,SMARTS
12446,"BIOFUEL OASIS COOPERATIVE, INC.",1441 ASHBY AVE,BERKELEY,94702,2015-11-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
12796,BML AUTO REPAIR INC,222 KEYES ST 104,SAN JOSE,95112,2015-09-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
